Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C2H2X(98)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3994019416676306e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,9.7473372087826941e-186,4.05570078510123e-67,-7.8625078743509115e-114,-2.2909616002467828e-134,1.7595778624662313e-201,6.5006140409760175e-48,1.0321457068543992e-62,0.0,0.5,3.1912083455291504e-19,2.2110709545077879e-18,9.6371131861238659e-20,3.1961289799706267e-35,4.4570449820832254e-21,4.4570449820774047e-21,2.9088339284742463e-33
6.718325436669366e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.4537386443324176e-183,6.128975020230461e-66,7.992682943464938e-103,4.1920043605181954e-123,2.6242719232009266e-199,3.926370880751982e-47,1.2253633831782479e-61,0.0,0.5,8.9353833674581882e-19,6.1909986726217915e-18,2.6983916921133779e-19,1.9304619039022548e-34,1.2479725949842453e-20,1.2479725949807313e-20,1.7569356927973384e-32
1.5356172426672837e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,6.9949092421558032e-181,6.5932716452270038e-65,1.5414459962563141e-101,1.658836011259928e-121,2.9427038711250911e-196,1.8903785631195271e-46,1.2030690359116739e-60,0.0,0.5,2.0423733411222526e-18,1.415085410884975e-17,6.1677524391101428e-19,9.2943430737545265e-34,2.8525087885398602e-20,2.8525087885229421e-20,8.4588890639865037e-32
3.263186640667978e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,2.2406185407187189e-178,6.0603525626375743e-64,2.6387271832302165e-100,5.7017247881825527e-120,1.9602060576857437e-193,8.2557798320777937e-46,1.0641009379432027e-59,0.0,0.5,4.3400433498376253e-18,3.0070564981305467e-17,1.3106473933082798e-18,4.0590838045626379e-33,6.0615811756661697e-20,6.0615811755922838e-20,3.6942190891451308e-31
6.718325436669367e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,6.3532799810057869e-176,5.1847592097402908e-63,4.3561263854620184e-99,1.8847790577362364e-118,1.1325893859912954e-190,3.4466255645599112e-45,8.9444095523704251e-59,0.0,0.49999999999999994,8.9353833671183918e-18,6.1909986726216082e-17,2.6983916920944599e-18,1.6945875851803746e-32,1.2479725949979093e-19,1.2479725949670639e-19,1.5422637488615986e-30
1.3628603028672145e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,1.7087837123451998e-173,4.2868591781256282e-62,7.0767557327290493e-98,6.1270677084561075e-117,6.1498223154222706e-188,1.4080590037607175e-44,7.3331673495700375e-58,0.0,0.49999999999999989,1.8126063401080004e-17,1.2558883021603409e-16,5.4738802896334225e-18,6.9229432157751434e-32,2.531601549884618e-19,2.5316015497586044e-19,6.3006506423015651e-30
2.74491582126777e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,4.4821688059468566e-171,3.4860026894592551e-61,1.1408334305575817e-96,1.9759734118236815e-115,3.2414248259774353e-185,5.691599622588237e-44,5.9385890450032054e-57,0.0,0.49999999999999972,3.6507423466603559e-17,2.5294651719565715e-16,1.1024857484577747e-17,2.7983643361549658e-31,5.0988594597545301e-19,5.098859459245165e-19,2.5468237283001811e-29
5.50902685806888e-23,0.004023131612903226,0.0,0.0,0.010942917987096677,0.5,1.1613678371735938e-168,2.8115874584320381e-60,1.8321751228176923e-95,6.3476112243930871e-114,1.6837213730248598e-182,2.2885671757762494e-43,4.7798931091801904e-56,0.0,0.49999999999999944,7.3270143588052e-17,5.0766189115485174e-16,2.2126811873932005e-17,1.1252099919142904e-30,1.0233375279880342e-18,1.0233375277832206e-18,1.0240666197678062e-28
1.10372489316711e-22,0.004023131612903226,0.0,0.0,0.01094291798709658,0.5,2.9910316663065896e-166,2.2584199477203401e-59,2.9369534661824839e-94,2.0351549508462368e-112,8.682866480099916e-180,9.1781779623363449e-43,3.8355631932705902e-55,0.0,0.49999999999999883,1.4679558379255421e-16,1.017092639073034e-15,4.4330720650502946e-17,4.5125953300443275e-30,2.0502406921675896e-18,2.0502406913461966e-18,4.1069651699062783e-28
