Time (s),Volume (m^3),Ar,Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),HeX(44),C2H4X(59)
0.0,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193544,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1.095353281165505e-24,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193518,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.8709741667560667e-18,7.0672115191183605e-19
3.066989187263414e-24,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193471,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.2387276669169827e-18,1.9788192253530079e-18
7.010260999459231e-24,0.0009467769729032257,0.0,0.0,0.0,0.002745653221419338,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1974234667238791e-17,4.5230153722348189e-18
1.489680462385087e-23,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193193,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5445248667882311e-17,9.6114076659963038e-18
3.0669891872634143e-23,0.0009467769729032257,0.0,0.0,0.0,0.002745653221419282,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.2387276669168979e-17,1.9788192253510746e-17
6.221606637020068e-23,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214192079,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0627133267174084e-16,4.0141761428505474e-17
1.2530841536533378e-22,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214190595,0.49999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,2.1403944467687858e-16,8.0848899778358397e-17
2.5149311335559993e-22,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214187625,0.49999999999999961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999989,4.2957566868713021e-16,1.6226317647751796e-16
5.038625093361322e-22,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214181688,0.49999999999999917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999972,8.6064811670753768e-16,3.250917298736522e-16
1.0086013012971968e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214169809,0.49999999999999828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999939,1.7227930127479705e-15,6.507488366571807e-16
2.018078885219326e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214146052,0.49999999999999656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999872,3.4470828048273064e-15,1.302063050189278e-15
4.0370340530635844e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214098538,0.49999999999999312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999745,6.8956623889798617e-15,2.6046914771136343e-15
8.074944388752101e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214003514,0.49999999999998623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999484,1.3792821557260503e-14,5.2099483304029924e-15
1.6150765060129135e-20,0.0009467769729032257,0.0,0.0,0.0,0.0027456532213813467,0.49999999999997247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999998962,2.758713989372392e-14,1.0420462034744292e-14
3.23024064028832e-20,0.0009467769729032257,0.0,0.0,0.0,0.0027456532213433371,0.49999999999994488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999997918,5.5175776566259253e-14,2.0841489434477216e-14
6.460568908839134e-20,0.0009467769729032257,0.0,0.0,0.0,0.0027456532212673176,0.4999999999998897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999995837,1.1035304990976397e-13,4.1683544198144408e-14
1.2921225445940763e-19,0.0009467769729032257,0.0,0.0,0.0,0.0027456532211152791,0.49999999999977934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999991668,2.207075965905095e-13,8.3367653582284111e-14
