Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-2.8149394707156223e-121,1.311201884293825e-65,2.9700072475076062e-36,8.616079563909923e-89,1.8073311321671e-54,2.93019312243768e-132,5.564692090377849e-20,-6.581225779360961e-106,5.564692090377849e-20,2.608906928252412e-72,2.0338572628966063e-72,1.9330928837010677e-112,2.2414167888341173e-113,2.275477900774028e-53,1.2252274914352833e-85,3.0390311159895404e-18,8.998030998167262e-20,3.602213534547962e-22,9.008783568162427e-38,3.335798334090026e-37,3.6022135345248125e-22,1.1544309585675214e-33,8.072455624511792e-42,2.8423862097343668e-46,3.5880214055196996e-77,2.145630712719247e-52,2.4978290317944483e-76,3.3174158809203196e-54,3.404358502146033e-106,-7.656786066576541e-109,-1.1529615432393532e-108
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,5.099743760538784e-119,2.933132684791368e-64,1.7938843776603593e-35,9.521131245914725e-87,2.7312388298498634e-53,1.0573123165490307e-129,1.5581137853057977e-19,1.2705152500845124e-104,1.558113785305797e-19,7.357535022330881e-71,6.3947726595222436e-71,3.86439940291185e-110,4.480762292111518e-111,2.7014473635760332e-52,6.345208667025448e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197896771882e-21,5.4413052746798555e-37,2.0148221937883227e-36,1.0086197896632055e-21,6.972762942646026e-33,9.583619253644337e-41,3.374525793952025e-45,2.182797078218082e-75,2.5472927823558397e-51,1.519551284205029e-74,3.9384361334898807e-53,6.805571048285205e-104,7.748968837858234e-107,1.1668424583558416e-106
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,2.1528792420153537e-116,5.795399355304455e-63,8.636781078238597e-35,8.614245507020772e-85,2.938142101181015e-52,3.828382693191039e-127,3.5614029378418233e-19,1.3415299398818157e-102,3.561402937841821e-19,1.6004245773026084e-69,1.4266386025299129e-69,6.996297023173654e-108,8.112190438235779e-109,2.6522970404512385e-51,2.7732770611288114e-82,1.944979914233304e-17,5.758739838827048e-19,2.305416662137007e-21,2.6197542608862557e-36,9.70050155550299e-36,2.3054166620696857e-21,3.3570851568616464e-32,9.409254078225154e-40,3.3132245119061214e-44,9.854468038416498e-74,2.500947159413758e-50,6.859980760506241e-73,3.8667799497506784e-52,1.2321137517538958e-101,1.6227986716120783e-104,2.4436159587160192e-104
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,6.925124510798786e-114,1.031262266117555e-61,3.7719092069040164e-34,6.5197583612945104e-83,2.700658788425945e-51,1.160895348435773e-124,7.567981242913876e-19,1.0603676119337286e-100,7.567981242913862e-19,2.9669174431537698e-68,2.6719362123642084e-68,1.0601870024621107e-105,1.2292844108269758e-106,2.3459266951309567e-50,1.0344361804968818e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407116783e-21,1.1441155123967367e-35,4.236463884262497e-35,4.8990104068227746e-21,1.4661272443729584e-31,8.322378435464527e-39,2.9306786930430327e-43,3.7210710082493025e-72,2.212059440988261e-49,2.5901981346439377e-71,3.420123074388513e-51,1.86708909131473e-99,2.6080763802752417e-102,3.9272506054884055e-102
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.981181422923906e-111,1.7393761022896217e-60,1.5746978449409536e-33,4.529945509531943e-81,2.310470452147798e-50,3.229262161821461e-122,1.5581137853057986e-18,7.515510110922868e-99,1.5581137853057924e-18,5.099373034143411e-67,4.6151053397038407e-67,1.474121295873548e-103,1.709240279754263e-104,1.9718927385317653e-49,3.5776755230005455e-79,8.509287124770657e-17,2.519448679486833e-18,1.0086197897316887e-20,4.7764570410006884e-35,1.7686402767058788e-34,1.0086197896089461e-20,6.120792285254887e-31,6.995460131652918e-38,2.4636965567813892e-42,1.2911591481708817e-70,1.8593692480969485e-48,8.986600085940007e-70,2.8748195197507663e-50,2.596066339594463e-97,3.7292241814786973e-100,5.61547891824778e-100
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,5.358411053252672e-109,2.8569317279274644e-59,6.433154517969866e-33,3.019870482018805e-79,1.9103416499533803e-49,8.61508113053496e-120,3.160745107334622e-18,5.057593770479387e-97,3.1607451073345965e-18,8.451836833767489e-66,7.668066534868934e-66,1.9660402317694933e-101,2.279619163731727e-102,1.6166768014724852e-48,1.1965179455311642e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.046057287867931e-20,1.951338550207873e-34,7.225472623329765e-34,2.046057287366488e-20,2.5005430771762922e-30,5.735300200855255e-37,2.0203538895563317e-41,4.3010766307772956e-69,1.5244232501888358e-47,2.992912693681229e-68,2.3569507280500645e-49,3.4623818827873856e-95,5.0421096230886555e-98,7.592426450356641e-98
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,1.4101892627631615e-106,4.631210446036813e-58,2.600383921645672e-32,1.972980513633816e-77,1.5534581035888258e-48,2.2519300562075007e-117,6.366007751392276e-18,3.318472263611885e-95,6.36600775139217e-18,1.3761625288048576e-64,1.2500883733466259e-64,2.5693558037293752e-99,2.979162193078548e-100,1.3092267852561094e-47,3.958752287970193e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322845253006e-20,7.887622387906912e-34,2.9206515596163002e-33,4.1209322824983875e-20,1.0107592592944839e-29,4.644593726540977e-36,1.6368907117395442e-40,1.404581259105117e-67,1.2345174749739292e-46,9.769363287816654e-67,1.9087198019459782e-48,4.524877386072831e-93,6.634054016476542e-96,9.989581947670657e-96
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,3.662619827702411e-104,7.458422422444224e-57,1.0456029445768868e-31,1.2766179958440064e-75,1.2529202384255368e-47,5.82910978020924e-115,1.2776533039507605e-17,2.1503206408997452e-93,1.2776533039507187e-17,2.2211318697486182e-63,2.0188960496957913e-63,3.325256844086623e-97,3.855627724883518e-98,1.0537796108888642e-46,1.3170517971194665e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682279379588e-20,3.171578251672172e-33,1.174381146547869e-32,8.270682271229453e-20,4.064216655091381e-29,3.7383713730410864e-35,1.3187286448261444e-39,4.543489107859724e-66,9.936470702943285e-46,3.1572879651315925e-65,1.5363037422950517e-47,5.856090259440717e-91,8.614725735085956e-94,1.29720844525921e-93
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,9.456952053224135e-102,1.1972420293600604e-55,4.193335517935163e-31,8.22626925005327e-74,1.006413672223354e-46,1.5025378982818699e-112,2.5597583615738364e-17,1.3847462977855895e-91,2.5597583615736684e-17,3.5692992867538906e-62,3.245316395849207e-62,4.285596823066212e-95,4.969139739478049e-96,8.455917633208592e-46,4.48294970588128e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182275246342e-19,1.271944715598823e-32,4.7097936518078897e-32,1.6570182242560648e-19,1.6299311539325122e-28,2.9998048182728435e-34,1.0601491664803219e-38,1.4637712014511154e-64,7.97339205580669e-45,1.0153355687496053e-63,1.232786985427391e-46,7.547339343513665e-89,1.1121436771911798e-91,1.67466988974533e-91
