Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),H2OX(23),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.797054721625676e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.9638766289086075e-122,5.1212501180568344e-54,3.451630044084022e-36,4.556648777202309e-89,2.308181544462118e-54,1.8009382837061667e-132,5.998939808609187e-20,-1.0530264656190852e-105,5.998939808609184e-20,3.591899580196632e-72,2.6536285976117533e-71,1.1021023841456428e-112,1.277885200274874e-113,1.2432786708152212e-37,1.8249787313229768e-85,3.276185716157702e-18,9.700203619054117e-20,3.883316780246001e-22,1.0469667389950358e-37,3.876738604482683e-37,3.883316780236843e-22,4.5201825705312225e-34,1.148017006690076e-42,1.3619507351815644e-47,1.998021098136743e-78,2.6881597513617713e-52,3.4877551976133046e-37,3.203959247728052e-75,1.9409060233660508e-106,4.15623424734963e-54,-1.470027113047273e-109,7.292993169851592e-28,-1.9055235879700743e-124,6.688970289034386e-92,3.810044874856342e-102,4.654503488854299e-71,-7.461507796746594e-110
1.9031753220551894e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.558002044541554e-120,6.079948140175665e-53,2.0847845466346925e-35,5.03543269810685e-87,3.488123919651331e-53,6.498575524796087e-130,1.6797031464105727e-19,2.032882129562082e-104,1.6797031464105715e-19,1.0129731435102404e-70,8.343432884506965e-70,2.2032488596162628e-110,2.5546620266184288e-111,7.509403171723939e-37,9.489181377819212e-84,9.173320005241563e-18,2.7160570133351527e-19,1.0873286984703664e-21,6.323679102915806e-37,2.3415501171049684e-36,1.0873286984648342e-21,2.7301902659024398e-33,1.362925786591761e-41,1.6169767564077069e-46,1.2155446362990761e-76,3.191383256827819e-51,2.1066041393547007e-36,1.9491247583178385e-73,3.880128601580417e-104,4.934281297995995e-53,1.4877685512382712e-107,2.042038087961268e-27,3.518594675978915e-122,7.391498370450003e-90,3.6040363829289014e-100,1.3126444449001508e-69,7.551559109338052e-108
4.350115021840433e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.5021183360126612e-117,5.9693291376646736e-52,1.0037340168315468e-34,4.5560903333260644e-85,3.7523645384647016e-52,2.3531896762256057e-127,3.839321477509882e-19,2.1465089000141524e-102,3.8393214775098756e-19,2.203437846323009e-69,1.8613739792109945e-68,3.989114822865046e-108,4.625369537039453e-109,3.615454374730665e-36,4.1808303757158426e-82,2.096758858340927e-17,6.208130316194635e-19,2.4853227393678413e-21,3.044579276076244e-36,1.1273555861797049e-35,2.4853227393412066e-21,1.314469081462851e-32,1.3381286113707898e-40,1.5877031920868717e-45,5.48804617621679e-75,3.1333190062217625e-50,1.0142392114603455e-35,8.799280808642943e-72,7.025206640448712e-102,4.844506637292518e-52,3.1158954386555618e-105,4.667515631524772e-27,1.466781359566341e-119,6.687271897286688e-88,3.178265741533358e-98,2.8552883827069026e-68,1.5815543732913511e-105
9.24399442141092e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.832435168150146e-115,5.279804021832889e-51,4.383570156109808e-34,3.4487399501041646e-83,3.4490694861530294e-51,7.136548422168436e-125,8.158558139708502e-19,1.6966363915244115e-100,8.158558139708478e-19,4.084802416039798e-68,3.4861474603752985e-67,6.045669932504499e-106,7.009940495188425e-107,1.578963911935332e-35,1.5842769989989888e-80,4.455612573974461e-17,1.3192276921913602e-18,5.281310821186566e-21,1.3296477575716637e-35,4.923458027653125e-35,5.281310821070244e-21,5.740631760749158e-32,1.1835595888001586e-39,1.4045649017720062e-44,2.0725585929037355e-73,2.7713851773363404e-49,4.429449100910992e-35,3.322440967772385e-70,1.0646993742089083e-99,4.284911256669327e-51,5.008326297399205e-103,9.918470725096933e-27,4.7220490631229055e-117,5.0610281328117066e-86,2.413202108998433e-96,5.293223452450243e-67,2.542107242163817e-103
1.9031753220551894e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.3828359418088266e-112,4.437993412525716e-50,1.8300542494841374e-33,2.3967882630920414e-81,2.9507515607768393e-50,1.985663089441297e-122,1.6797031464105755e-18,1.2025157889880078e-98,1.6797031464105661e-18,7.020731681569806e-67,6.021452792652523e-66,8.408189673792898e-104,9.749276745736138e-105,6.591863512662308e-35,5.650089862318405e-79,9.1733200052415e-17,2.716057013335153e-18,1.0873286984919104e-20,5.551017641583386e-35,2.055446808060823e-34,1.0873286984433486e-20,2.39660070545271e-31,9.948531254260224e-39,1.1810578276250724e-43,7.193284406392033e-72,2.3295162301054584e-48,1.849207805722459e-34,1.1527090875218771e-68,1.4807613355917267e-97,3.6017260936018345e-50,7.163066345013358e-101,2.0420380938021862e-26,1.3518154638671306e-114,3.516019229670333e-84,1.7227281507688406e-94,9.097698690230999e-66,3.6358020143364206e-101
3.860727081883384e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,3.7419520705926515e-110,3.63853513205001e-49,7.476368741625765e-33,1.5986020156604763e-79,2.4397384523865094e-49,5.299998137103247e-120,3.407397811290032e-18,8.09237998952571e-97,3.4073978112899926e-18,1.163634788606857e-65,1.0004733868453652e-64,1.1219569302744765e-101,1.300906501201711e-102,2.6929913321326056e-34,2.00252318693235e-77,1.8608734867775468e-16,5.509715655622736e-18,2.2057239312764546e-20,2.2677718280783135e-34,8.397170886549754e-34,2.2057239310780636e-20,9.790895463923217e-31,8.156406597286596e-38,9.690182153487551e-43,2.39740655592785e-70,1.9098781489985542e-47,7.554617267797077e-34,3.839002356223772e-67,1.975871747619032e-95,2.952912653903949e-49,9.68966963114258e-99,4.1424201466994137e-26,3.6587797491771207e-112,2.343411816575177e-82,1.2212711867211561e-92,1.5078768385370871e-64,4.9182457205162725e-99
7.775830601539774e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996495,0.02282156769305428,9.857585524471277e-108,2.946580085640822e-48,3.0220677826092645e-32,1.045453990182486e-77,1.9839547913255647e-48,1.3867520436961133e-117,6.8627871410489665e-18,5.3097065048135946e-95,6.8627871410488055e-18,1.8946776006074e-64,1.631024125378245e-63,1.4676971199797327e-99,1.701791462427847e-100,1.0885501536749282e-33,7.35561347393604e-76,3.7479564592842957e-16,1.1097032940197895e-17,4.4425143969976876e-20,9.166696284262175e-34,3.3942707314276076e-33,4.442514396195759e-20,3.95763615847865e-30,6.605268900091134e-37,7.858952086868759e-42,7.836910202465017e-69,1.5466688421811801e-46,3.0536970873969727e-33,1.2531141909535325e-65,2.5847527610273917e-93,2.3913452188591645e-48,1.2761669339288413e-96,8.343184293742834e-26,9.639455652721143e-110,1.5303375260188674e-80,8.967449471463094e-91,2.4551865399925236e-63,6.47751968074603e-97
1.5606037640852552e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996456,0.022821567693054275,2.56533720742535e-105,2.3716640001014454e-47,1.2151601641657984e-31,6.777988638850023e-76,1.6001314128954698e-47,3.5966559004332006e-115,1.3773565800566918e-17,3.4406107953949447e-93,1.3773565800566277e-17,3.058017286123764e-63,2.634108313925006e-62,1.90323225611532e-97,2.2067934591561423e-98,4.37701229175184e-33,2.9115340311527967e-74,7.522122404297613e-16,2.227166750934819e-17,8.916095329048736e-20,3.685888234899269e-33,1.3648213324597705e-32,8.916095325824217e-20,1.5913478268270821e-29,5.316494039601791e-36,6.344227893645594e-41,2.5401069744061367e-67,1.244893641637089e-45,1.2278781680461519e-32,4.0498477677578025e-64,3.35177112593426e-91,1.9247626620701265e-47,1.6604701895918705e-94,1.674471275282554e-25,2.508676646105318e-107,9.89313476905707e-79,7.09206988408789e-89,3.962680974097094e-62,8.428151590442251e-95
3.126645171947811e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.1186699660299638,0.022821567693054264,6.649868115294314e-103,1.9031109987084116e-46,4.873335754503196e-31,4.384788157393678e-74,1.2853125697060596e-46,9.307177769578059e-113,2.759512311960316e-17,2.215657037564223e-91,2.7595123119600587e-17,4.914151684043364e-62,4.234252165674966e-61,2.462504948298767e-95,2.8552688697417086e-96,1.755377695652002e-32,1.280762162255504e-72,1.5070454294323534e-15,4.46209366476487e-17,1.7863257195585164e-19,1.4782060179980197e-32,5.473543973604089e-32,1.7863257182653394e-19,6.382014398274626e-29,4.266150014166939e-35,5.1207895740146145e-40,8.215895770491251e-66,9.989487472345252e-45,4.924340634607593e-32,1.3023698591090952e-62,4.33670297198956e-89,1.5445007990925671e-46,2.1521030595294776e-92,3.3547770330974416e-25,6.503019619495127e-105,6.36347002467488e-77,6.231523932944507e-87,6.367921944277092e-61,1.0923563143495625e-92
