Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.2477979671614912e-65,2.8897367882150633e-36,2.3555177639860077e-88,1.725317624829578e-54,7.794238743344063e-132,5.488978465945501e-20,-6.029610084525418e-106,5.488978465945501e-20,2.4566331258286e-72,5.034521404162974e-71,5.2129047965690045e-112,6.044351219819823e-113,1.694874594048369e-51,1.1375852780651193e-85,2.9976818271489012e-18,8.875603103045467e-20,3.553201542845971e-22,8.76530293199254e-38,3.2456416223579106e-37,3.553201542779246e-22,3.333860760940819e-33,6.825182511238612e-41,7.132898568294468e-45,8.760699094193856e-76,3.18383889865851e-54,2.0592361000561084e-52,2.647629437755965e-77,9.180415961751583e-106,-6.137336572851059e-108
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,2.7914883362093576e-64,1.7454010242417832e-35,2.6029238812480114e-86,2.607299995971693e-53,2.8123995086806164e-129,1.5369139704647403e-19,1.164025182678399e-104,1.5369139704647396e-19,6.928098479543319e-71,1.582934077349572e-69,1.0420902430888509e-109,1.2083012596191504e-110,2.012155118052108e-50,5.888790873716808e-84,8.393509116016921e-18,2.4851688688527303e-19,9.948964320076912e-22,5.294242970917418e-37,1.9603675399022067e-36,9.9489643196739e-22,2.0136518597813938e-32,8.102856526834727e-40,8.468214478420256e-44,5.32958387011863e-74,3.77985354047038e-53,2.444725103322431e-51,1.6106821618962444e-75,1.835218994890217e-103,6.211171257777699e-106
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,5.515699931287689e-63,8.403354642527674e-35,2.354951702159946e-84,2.8048143578547074e-52,1.0183122028920002e-126,3.51294621820512e-19,1.2290876653187231e-102,3.5129462182051176e-19,1.5070127479742301e-69,3.5314388490978443e-68,1.8866156466071896e-107,2.1875265384445685e-108,1.975545826816221e-49,2.5715599691087712e-82,1.9185163693752944e-17,5.680385985949098e-19,2.2740489874971576e-21,2.5489500926143144e-36,9.438325837787233e-36,2.2740489873031247e-21,9.694866495413011e-32,7.955432268525714e-39,8.314222195436823e-43,2.406051445466251e-72,3.711082620223649e-52,2.4002456147664373e-50,7.271388913721554e-74,3.3225077133796666e-101,1.300726823660914e-103
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,9.815048080524865e-62,3.669965785511338e-34,1.782296219695014e-82,2.578107621836666e-51,3.0877518878336972e-124,7.465010713685881e-19,9.714913648966217e-101,7.465010713685868e-19,2.793747654267843e-68,6.613994132145103e-67,2.85878410203993e-105,3.314753644778242e-106,1.7473479114663344e-48,9.575379431022966e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540986492024e-21,1.1131934723536315e-35,4.1219648603639894e-35,4.83235409780181e-21,4.234002549078566e-31,7.036489181981207e-38,7.35397591883877e-42,9.084963352738788e-71,3.282410550850286e-51,2.1229900844500208e-49,2.7455378810578423e-72,5.034587859451072e-99,2.0903803831499396e-101
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.6554639133642552e-60,1.532138503142005e-33,1.23825076739027e-80,2.2056253489742325e-50,8.588554231654387e-122,1.5369139704647401e-18,6.885586746811793e-99,1.536913970464735e-18,4.801738412076588e-67,1.1424030078134782e-65,3.974655320245661e-103,4.6086037767184584e-104,1.468751205183824e-47,3.3003152519880466e-79,8.393509116016867e-17,2.48516886885273e-18,9.94896432164574e-21,4.647363614457648e-35,1.7208391881466636e-34,9.948964318108043e-21,1.7676124198662618e-30,5.914592183672613e-37,6.181696301130648e-41,3.152114476743848e-69,2.7590638479542543e-50,1.7845011195523602e-48,9.525544827309594e-71,6.999742095353463e-97,2.9887570834381925e-99
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,0.0,2.71911463434894e-59,6.259285964069075e-33,8.253505390327349e-79,1.8236536911437593e-49,2.290925722716971e-119,3.117739768657045e-18,4.633684224059749e-97,3.117739768657023e-18,7.958529275177384e-66,1.898119683244038e-64,5.300213991346646e-101,6.1455860319195976e-102,1.2041709761978488e-46,1.0962180790470362e-77,1.7026832778205523e-16,5.041342562529821e-18,2.0182184770408618e-20,1.8985996762095155e-34,7.030189579459293e-34,2.0182184755955958e-20,7.221271058680454e-30,4.8491384522069076e-36,5.068515836119343e-40,1.049864764581551e-67,2.2620472379925722e-49,1.4630418882930173e-47,3.172403127257804e-69,9.334175670469226e-95,4.040346801042949e-97
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,0.0,4.407810194056506e-58,2.5301036696012506e-32,5.39066029005195e-77,1.482964895163378e-48,5.986546337698781e-117,6.279391365041656e-18,3.040329704936411e-95,6.279391365041567e-18,1.295840181053525e-64,3.0944141433160227e-63,6.924601923315462e-99,8.029060133331083e-100,9.751688767302476e-46,3.578147911696624e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.064862567901356e-20,7.67444345090961e-34,2.8417150309806982e-33,4.064862562059359e-20,2.9189512521462316e-29,3.9269555068741525e-35,4.10524353003612e-39,3.427449442325542e-66,1.8318645005751826e-48,1.1848093429023579e-46,1.0355245602287689e-67,1.2194875697996788e-92,5.314395714802521e-95
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996463,0.022821567693054278,0.0,7.098649009195143e-57,1.0173437230509465e-31,3.4859283613146307e-75,1.1960649120409032e-47,1.548686620024389e-114,1.2602694557810881e-17,1.970088402234018e-93,1.2602694557810522e-17,2.091491276647107e-63,4.997487103683387e-62,8.956433593385753e-97,1.0384964319422837e-97,7.84900749710055e-45,1.159418446018123e-74,6.882677475133484e-16,2.0378384724592344e-17,8.158150754054036e-20,3.085859957940661e-33,1.1426411155622437e-32,8.158150730563608e-20,1.1736958778439781e-28,3.1607513499530937e-34,3.305268076013214e-38,1.108025954419683e-64,1.4744439182117613e-47,9.536377798739948e-46,3.346632190060687e-66,1.5773122493969054e-90,6.8968952359021e-93
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996392,0.022821567693054268,0.0,1.1394909038243003e-55,4.080004673423334e-31,2.243561663486511e-73,9.607443821497086e-47,3.987194279181891e-112,2.5249300943349357e-17,1.2686817814166567e-91,2.5249300943347915e-17,3.360970333949813e-62,8.033314551112333e-61,1.1529244829526892e-94,1.3368133077821996e-95,6.298334202276803e-44,3.7529233474091466e-73,1.378933640488336e-15,4.0827774274008945e-17,1.6344727144086236e-19,1.2375678614003933e-32,4.582501931506053e-32,1.6344727049878987e-19,4.707032724377589e-28,2.5362973542831932e-33,2.6538918917353198e-37,3.56539051142135e-63,1.183148386390767e-46,7.6523449244032e-45,1.0762240232480935e-64,2.0304085217488058e-88,8.89300617486201e-91
