Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3994030605323753e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,2.4462984413283297e-177,1.0178607381716355e-58,9.9590665014388943e-110,2.9018576329213176e-130,4.4160312681879126e-193,1.0298304075893995e-43,1.6351309629189939e-58,0.0,0.5,3.1912098336210162e-19,2.2110709310632856e-18,9.6371176800044352e-20,3.1961304364677131e-35,4.4570470604442649e-21,4.4570470604442649e-21,1.1169496546195419e-47
6.718328569490651e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,3.6484616319360023e-175,1.5381911475271753e-57,1.2662058627310998e-98,6.6410024722636219e-119,6.586163149853673e-191,6.2201756618399634e-43,1.9412274791774264e-57,0.0,0.5,8.9353875341154113e-19,6.1909986069771874e-18,2.6983929503999374e-19,1.9304627836264959e-34,1.2479731769243941e-20,1.2479731769243941e-20,1.6879343180634665e-46
1.5356179587407203e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.7555189914627109e-172,1.6547158448333825e-56,2.4419684495346227e-97,2.627939549708307e-117,7.3853351946755072e-188,2.9947468252699596e-42,1.9059086503783706e-56,0.0,0.5,2.0423742935010462e-18,1.4150853958804942e-17,6.167755315193705e-19,9.2943473092480589e-34,2.852510118684329e-20,2.852510118684329e-20,1.8158027145246614e-45
3.2631881623240308e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,5.623301553537723e-170,1.5209689438374378e-55,4.1802882124980545e-96,9.0327120768073374e-116,4.9195499854970496e-185,1.307884617638522e-41,1.6857546175309466e-55,0.0,0.5,4.3400453736425622e-18,3.0070564662460252e-17,1.3106480044760369e-18,4.0590856543139409e-33,6.0615840022041968e-20,6.0615840022041968e-20,1.669035529907443e-44
6.718328569490652e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,1.5944886886217599e-167,1.301220953351751e-54,6.901002838382347e-95,2.9858800958108284e-114,2.8424716246190554e-182,5.4601608210388575e-41,1.4169783303701585e-54,0.0,0.49999999999999994,8.9353875337756129e-18,6.1909986069770053e-17,2.698392950381019e-18,1.6945883574151312e-32,1.2479731769243926e-19,1.2479731769243926e-19,1.4278950350719516e-43
1.3628609383823893e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,4.2885506521550106e-165,1.0758746473772487e-53,1.121104097450121e-93,9.7065432900784333e-113,1.5434274454582348e-179,2.2306538560548244e-40,1.1617244454622238e-53,0.0,0.49999999999999989,1.8126071853441799e-17,1.2558882888438647e-16,5.473882842157583e-18,6.9229463706060985e-32,2.5316027303323344e-19,2.5316027303323344e-19,1.1806112277800669e-42
2.7449171012490376e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,1.1248941464188801e-162,8.7488339557320378e-53,1.8073155013125286e-92,3.1303508258933665e-111,8.1350383507625261e-177,9.0166595370398598e-40,9.4079457567548603e-53,0.0,0.49999999999999972,3.6507440490374501e-17,2.529465145136063e-16,1.1024862625577114e-17,2.7983656113880796e-31,5.098861837148207e-19,5.098861837148207e-19,9.6005344333566711e-42
5.509029426982334e-23,0.004023131612903226,0.0,0.0,0.010942917987096677,0.5,2.9146958500358511e-160,7.0562515335737629e-52,2.9025433614975202e-91,1.0055929861684743e-109,4.2256534320577463e-174,3.6255591431339929e-39,7.5723332178184307e-52,0.0,0.49999999999999944,7.3270177754641217e-17,5.0766188577199437e-16,2.2126822191881781e-17,1.125210504679917e-30,1.0233380050779902e-18,1.0233380050779902e-18,7.7431788237467413e-41
1.1037254078448927e-22,0.004023131612903226,0.0,0.0,0.01094291798709658,0.5,7.506620473648901e-158,5.6679649671863257e-51,4.6527401662816616e-90,3.2241066313371567e-108,2.1791482322990852e-171,1.4540113734923896e-38,6.0763205184094205e-51,0.0,0.49999999999999883,1.4679565224477999e-16,1.0170926282885637e-15,4.4330741322353545e-17,4.5125973864638285e-30,2.0502416478043101e-18,2.0502416478043101e-18,6.2197423233618298e-40
2.209370338138211e-22,0.004023131612903226,0.0,0.0,0.010942917987096384,0.49999999999999994,1.9274702291467118e-155,4.5435754745334176e-50,7.4513208907789466e-89,1.0327075725801962e-106,1.1197366919237535e-168,5.8236295770206392e-38,4.8684506514409465e-50,0.0,0.49999999999999767,2.9384660107147861e-16,2.0359541133208748e-15,8.8738579574746765e-17,1.8073927128832284e-29,4.1040489332568707e-18,4.1040489332568707e-18,4.9858933218447543e-39
4.420660198724848e-22,0.004023131612903226,0.0,0.0,0.010942917987095993,0.49999999999999983,4.9417262181221239e-153,3.6385453814816561e-49,1.1927662726933684e-87,3.3062537534974677e-105,5.7433447504487899e-166,2.3309695124744731e-37,3.8977207475677571e-49,0.0,0.49999999999999534,5.8794849811056078e-16,4.0736770833821899e-15,1.7755425604533198e-16,7.2342810528722684e-29,8.2116635041616828e-18,8.2116635041616828e-18,3.9927583948897453e-38
8.843239919898121e-22,0.004023131612903226,0.0,0.0,0.010942917987095211,0.49999999999999967,1.2660300601903386e-150,2.9123110262962347e-48,1.9088699820432382e-86,1.0582555253799914e-103,2.9432300719714142e-163,9.3269142782755345e-37,3.1193611949547821e-48,0.0,0.49999999999999067,1.1761522897314638e-15,8.1491230234915871e-15,3.5518560884969758e-16,2.8946547298872501e-28,1.6426892645970053e-17,1.6426892645970053e-17,3.1958250013743573e-37
1.7688399362244672e-21,0.004023131612903226,0.0,0.0,0.010942917987093646,0.49999999999999933,3.2422510014077208e-148,2.3304388535606644e-47,3.0545471381386239e-85,3.3868246111641392e-102,1.5076093466964591e-160,3.7313730434816261e-36,2.4959628959845828e-47,0.0,0.49999999999998135,2.352559863144225e-15,1.6300014903657457e-14,7.10448313911209e-16,1.1580503805464759e-27,3.2857350929581786e-17,3.2857350929581786e-17,2.5573074733899727e-36
3.537871824693777e-21,0.004023131612903226,0.0,0.0,0.010942917987090517,0.49999999999999861,8.3017169094530148e-146,1.8645871246735408e-46,4.8875596203668631e-84,1.0838489986218063e-100,7.7206897754906169e-158,1.4926706924696136e-35,1.9969599130390325e-46,0.0,0.49999999999996264,4.7053749706535698e-15,3.2601798663777479e-14,1.4209737218453537e-15,4.6325785261878425e-27,6.5718267496785209e-17,6.5718267496785209e-17,2.0461049992489155e-35
7.075935601632397e-21,0.004023131612903226,0.0,0.0,0.010942917987084258,0.49999999999999717,2.1254386089556963e-143,1.4917641222305128e-45,7.82032317362378e-83,3.4684211750198184e-99,3.9534362634226793e-155,5.9709257286197953e-35,1.5976437729660337e-45,0.0,0.49999999999992528,9.4110050284075533e-15,6.5205366183170696e-14,2.8420245289581289e-15,1.8531068139373096e-26,1.31440100631112e-16,1.31440100631112e-16,1.6369876139364951e-34
1.4152063155509635e-20,0.004023131612903226,0.0,0.0,0.010942917987071742,0.49999999999999434,5.4413787699956708e-141,1.1934490679310344e-44,1.2512702001011601e-81,1.1099117104151826e-97,2.0242731852157561e-152,2.388418884010716e-34,1.2781453561706534e-44,0.0,0.49999999999985051,1.8822264514856742e-14,1.3041250121856975e-13,5.6841261081616254e-15,7.4125780651746058e-26,2.6288376689944518e-16,2.6288376689944518e-16,1.3096315382260585e-33
2.830431826326411e-20,0.004023131612903226,0.0,0.0,0.01094291798704671,0.49999999999998868,1.3930268492743368e-138,9.5477436262964633e-44,2.002048841111259e-80,3.5517475599640008e-96,1.0364577839318266e-149,9.5537727216292942e-34,1.0225284201757163e-43,0.0,0.49999999999970102,3.7644780971520318e-14,2.6082677127581838e-13,1.1368329126480406e-14,2.96506138807641e-25,5.2577109943483033e-16,5.2577109943483033e-16,1.0477218096598053e-32
5.660882847877306e-20,0.004023131612903226,0.0,0.0,0.010942917986996644,0.4999999999999773,3.5662036197457799e-136,7.6382553345676312e-43,3.2033024163331345e-79,1.1365678624155075e-94,5.3067562996281985e-147,3.8215285255321312e-33,8.1802759020151479e-43,0.0,0.49999999999940203,7.5289803819911118e-14,5.2165531133611764e-13,2.273673460276515e-14,1.1860305875411411e-24,1.0515457645004752e-15,1.051545764500475e-15,8.3818407940239709e-32
1.1321784890979099e-19,0.004023131612903226,0.0,0.0,0.010942917986896516,0.49999999999995454,5.998689686831884e-134,6.1106284410466783e-42,3.2047100149391076e-79,3.3396362855465009e-94,4.6223067281986084e-144,1.5286152973388832e-32,6.5442401368464391e-42,0.0,0.49999999999880401,1.5057980925696848e-13,1.0433123912399248e-12,4.5473543313923581e-14,4.7441344138719023e-24,2.1030950946112638e-15,2.103095094611263e-15,6.7054991618965614e-31
2.2643588977182684e-19,0.004023131612903226,0.0,0.0,0.010942917986696256,0.49999999999990907,1.2322067080508227e-131,4.8885124220338979e-41,3.2947965738384369e-79,7.869632608849592e-94,2.076147500024418e-141,6.1144689615466246e-32,5.2353998738650411e-41,0.0,0.49999999999760802,3.0115965909235854e-13,2.0866265501803722e-12,9.0947151770597975e-14,1.897656177540377e-23,4.2061937547508351e-15,4.206193754750824e-15,5.3644099400131941e-30
4.528719714958985e-19,0.004023131612903226,0.0,0.0,0.010942917986295736,0.49999999999981815,3.0979936652073877e-129,3.9108138050231544e-40,9.0603442756032311e-79,3.2783660128637938e-93,1.052257956933279e-138,2.445789137402035e-31,4.1883230020996923e-40,0.0,0.49999999999521605,6.023187146096183e-13,4.1732548645925987e-12,1.81894332821391e-13,7.5906295281271393e-23,8.4123910747019542e-15,8.412391074701869e-15,4.2915321959005647e-29
9.05744134944042e-19,0.004023131612903226,0.0,0.0,0.010942917985494703,0.49999999999963624,7.948208027087963e-127,3.1286525905196465e-39,3.7805565006171773e-77,2.1119295696297766e-91,5.3936322606682898e-136,9.7831596419302052e-31,3.3506596384831973e-39,0.0,0.49999999999043204,1.2046342490410785e-12,8.3465114795423838e-12,3.6378855147286731e-13,3.0362527700280221e-22,1.6824785713292115e-14,1.6824785713291424e-14,3.4332274537773161e-28
1.3586162983921854e-18,0.004023131612903226,0.0,0.0,0.010942917984693672,0.49999999999945433,2.7889964053141767e-126,9.2881886824506993e-39,2.9707923337970939e-74,1.6359218535274211e-88,9.6938665244751725e-136,2.0789216156901918e-30,9.5807933067293819e-39,0.0,0.49999999998564804,1.8069472068804973e-12,1.25197680806175e-11,5.4568262667434751e-13,6.4520377301218371e-22,2.5237180350570191e-14,2.5237180350568156e-14,1.0192395434730868e-27
