Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24),CH3X(55),C2H4X(215)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-3.944304851713733e-122,1.4566857473716783e-65,3.1305481795406314e-36,4.885621973490424e-89,1.9937200706354555e-54,1.7513352424859544e-132,5.71310992218026e-20,-7.856475332811388e-106,5.713109922180259e-20,2.9547210003197785e-72,1.0941085728455563e-72,1.1253673814820777e-112,1.3048609116137665e-113,5.772965637193339e-54,1.42665149094597e-85,3.1200861683966903e-18,9.238020602182924e-20,3.698289420467725e-22,9.49574483912247e-38,3.516111757554253e-37,3.6982894204558537e-22,5.891759824736836e-34,2.047992505809516e-42,3.4916225742858416e-47,4.645817164290641e-78,2.321930955406261e-52,1.215322524586081e-75,1.9818778732717703e-106,3.5899983060571965e-54,-2.1574346738795113e-109,-1.5735653844939476e-109,3.1633128536495535e-37,2.4163614931806827e-92
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,7.145888512152754e-120,3.258554655376129e-64,1.8908511004629038e-35,5.398896761101023e-87,3.012909812458774e-53,6.319498227072522e-130,1.599670778210473e-19,1.5167033668486442e-104,1.5996707782104721e-19,8.332786087540075e-71,3.4400524205361353e-71,2.2497273459557652e-110,2.6085537255012656e-111,6.853664801999251e-53,7.40013585330931e-84,8.736241271510732e-18,2.5866457686112186e-19,1.035521037732891e-21,5.735429880566724e-37,2.1237315015605467e-36,1.0355210377257207e-21,3.558622922191452e-33,2.431376694250698e-41,4.145371274783493e-46,2.826355728843555e-76,2.756596430285489e-51,7.393399968863307e-74,3.961981590369316e-104,4.262045987395617e-53,2.1834411372948314e-107,1.5925336860575758e-107,1.9106409636011035e-36,2.670146712311856e-90
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,3.016762501591146e-117,6.438360987702754e-63,9.103634106409584e-35,4.884806748534858e-85,3.2411508921889053e-52,2.2882752103365898e-127,3.6563903501953675e-19,1.6014786296000333e-102,3.656390350195363e-19,1.8125629872433456e-69,7.674567707762143e-70,4.0731438347655305e-108,4.722800984649205e-109,6.728968739034841e-52,3.24472929230435e-82,1.9968551477738794e-17,5.912333185397071e-19,2.3669052291128416e-21,2.761362595821939e-36,1.0224852990934427e-35,2.3669052290783185e-21,1.713323739109077e-32,2.3871400379678606e-40,4.07019783181803e-45,1.2760286024512084e-74,2.706442721705782e-50,3.3377341326045685e-72,7.173189638836849e-102,4.1845020207182514e-52,4.572733119049996e-105,3.335208541162964e-105,9.198913778364497e-36,2.4157479506391316e-88
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,9.704575249891673e-115,1.1456724350085134e-61,3.97579618833221e-34,3.6973373901492515e-83,2.9791760712882986e-51,6.939261676850896e-125,7.769829494165158e-19,1.2658353868915737e-100,7.76982949416514e-19,3.3601863031996517e-68,1.4373615932381225e-68,6.172645250459235e-106,7.157168086698313e-107,5.951696637197644e-51,1.2179951864669542e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.029673611903594e-21,1.2059595910605153e-35,4.46546193205945e-35,5.029673611752824e-21,7.482534792197037e-32,2.1113982975015867e-39,3.6004845835583047e-44,4.8186217557626904e-73,2.393817937962551e-49,1.2602648812728507e-70,1.0870609227353167e-99,3.7011446434864886e-51,7.349521522350108e-103,5.36051116958844e-103,4.0174073240849157e-35,1.8282744422640895e-86
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,2.7766951118971695e-112,1.9323444168598842e-60,1.6598166450764908e-33,2.569244599770507e-81,2.5487478514420055e-50,1.9305367276833727e-122,1.5996707782104747e-18,8.971792934795784e-99,1.5996707782104672e-18,5.775301723973632e-67,2.482684697625555e-67,8.583743669568374e-104,9.952831203361373e-105,5.002759624489457e-50,4.2655428170470865e-79,8.736241271510672e-17,2.5866457686112184e-18,1.0355210377608503e-20,5.034643882130383e-35,1.8642424538242583e-34,1.0355210376979068e-20,3.123810892378607e-31,1.7747574355323008e-38,3.027165607521016e-43,1.672206787706194e-71,2.0121482153807492e-48,4.3724441921763265e-69,1.511678046483566e-97,3.111035073684374e-50,1.0510233432772624e-100,7.665835600985297e-101,1.6771884749599769e-34,1.270146674463998e-84
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,7.511902266571794e-110,3.173881816144249e-59,6.78089258121713e-33,1.7132096976886268e-79,2.1073540115222202e-49,5.1516129422700815e-120,3.245046435798396e-18,6.03760535044881e-97,3.2450464357983643e-18,9.572139066896238e-66,4.1250177298419316e-66,1.1451047694632375e-101,1.32774636793611e-102,4.10156456841603e-49,1.4616240867636331e-77,1.7722089436492946e-16,5.247195702039897e-18,2.1006283909511944e-20,2.056816288402023e-34,7.616038711070293e-34,2.1006283906940502e-20,1.276178603940627e-30,1.4550532820955167e-37,2.4830690398936236e-42,5.571831669967477e-70,1.649680676126302e-47,1.4562063843392915e-67,2.016637271003098e-95,2.5506144980588154e-49,1.4214000390782565e-98,1.0367247409040032e-98,6.851862173137939e-34,8.465473282937299e-83
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,1.9779303045608988e-107,5.144999397042247e-58,2.740945199478698e-32,1.119861306300984e-77,1.713665284115456e-48,1.3472764027429135e-117,6.535797750974252e-18,3.9614937069516656e-95,6.535797750974123e-18,1.558574705527259e-64,6.724819912477018e-65,1.4972538916968841e-99,1.7360624718094511e-100,3.3215532860454193e-48,5.062569970885838e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430975293307e-20,8.313980182517828e-34,3.078524616887166e-33,4.2308430964899123e-20,5.15851737006588e-30,1.1783397270642587e-36,2.0128228757043762e-41,1.8204914722363927e-68,1.335954182844473e-46,4.75329959622934e-66,2.636805017778381e-93,2.0655537234844435e-48,1.8711265036131917e-96,1.3647411634669713e-96,2.769632242073641e-33,5.528277614371796e-81
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,5.142376289290572e-105,8.285862926248805e-57,1.102122010404584e-31,7.253372061637994e-76,1.382133133419532e-47,3.490913053239281e-115,1.3117300381326013e-17,2.5669889666506778e-93,1.3117300381325501e-17,2.5155458584001757e-63,1.0860601837688668e-63,1.9396896047548564e-97,2.2490656717395082e-98,2.6734749860857393e-47,1.828463735242652e-74,7.163717842638372e-16,2.1210495302611934e-17,8.491272511475399e-20,3.343014775240305e-33,1.2378612085188492e-32,8.491272507295944e-20,2.0742166716682703e-29,9.484300912276898e-36,1.6232649278501427e-40,5.894843483522862e-67,1.0752921524769568e-45,1.536183919962976e-64,3.415975948109308e-91,1.662537293612507e-47,2.432231383768087e-94,1.7739935241266803e-94,1.1136569431244413e-32,3.573851621920456e-79
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,1.3304432894008103e-102,1.3300644555630468e-55,4.420002204329471e-31,4.683314662491386e-74,1.1102044963740873e-46,9.016304787129372e-113,2.628030564202974e-17,1.6530690355639327e-91,2.6280305642027694e-17,4.04241466273144e-62,1.7458099345401731e-62,2.5048769126289854e-95,2.904399065731506e-96,2.1452951990270697e-46,7.123280897095542e-73,1.4352396374623052e-15,4.249489477004121e-17,1.7012131342526717e-19,1.3406983727240674e-32,4.964377092409403e-32,1.701213132576523e-19,8.318532760730131e-29,7.610550420620736e-35,1.3076552738143268e-39,1.902980195423203e-65,8.628542340105096e-45,4.940134864317493e-63,4.41132398908819e-89,1.3340814075202545e-46,3.146293237283389e-92,2.2948079301300158e-92,4.466262436142276e-32,2.298775435384638e-77
