Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.4644295586805185e-65,3.1305481795406314e-36,4.885621973490429e-89,1.9937200706354555e-54,1.751335242485956e-132,5.71310992218026e-20,-7.856475332811388e-106,5.713109922180259e-20,2.9547210003197785e-72,3.6219874221051946e-70,1.1253673814820786e-112,1.304860911613767e-113,1.9110881918858568e-51,1.42665149094597e-85,3.1200861683966903e-18,9.238020602182924e-20,3.698289420467725e-22,9.495744842991437e-38,3.516111757554253e-37,3.6982894204558537e-22,3.5899983075199347e-54,5.891759824736836e-34,2.047992505809516e-42,3.4916225742858416e-47,4.645817164290645e-78,2.321930955406261e-52,1.215322524586081e-75,1.9818778732717715e-106,-2.157434673879512e-109,3.1633128536495535e-37,2.4163614931806827e-92,2.836535698905891e-102
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.2761217279109215e-64,1.8908511004629038e-35,5.398896761101027e-87,3.012909812458774e-53,6.319498227072528e-130,1.599670778210473e-19,1.5167033668486442e-104,1.5996707782104721e-19,8.332786087540075e-71,1.138810801098545e-68,2.2497273459557673e-110,2.608553725501268e-111,2.268843901404401e-50,7.40013585330931e-84,8.736241271510732e-18,2.5866457686112186e-19,1.035521037732891e-21,5.73542988515996e-37,2.1237315015605467e-36,1.0355210377257207e-21,4.2620459906677035e-53,3.558622922191452e-33,2.431376694250698e-41,4.145371274783493e-46,2.826355728843558e-76,2.756596430285489e-51,7.393399968863307e-74,3.9619815903693203e-104,2.1834411372948336e-107,1.9106409636011035e-36,2.670146712311856e-90,2.676759122533654e-100
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.473286724908943e-63,9.103634106409584e-35,4.884806748534869e-85,3.2411508921889053e-52,2.2882752103365947e-127,3.6563903501953675e-19,1.6014786296000333e-102,3.656390350195363e-19,1.8125629872433456e-69,2.5406242516071685e-67,4.0731438347655395e-108,4.722800984649215e-109,2.2275643964544406e-49,3.2447292923043496e-82,1.9968551477738794e-17,5.912333185397071e-19,2.3669052291128416e-21,2.761362600331606e-36,1.0224852990934427e-35,2.3669052290783185e-21,4.184502027183342e-52,1.713323739109077e-32,2.3871400379678606e-40,4.07019783181803e-45,1.2760286024512114e-74,2.706442721705782e-50,3.3377341326045685e-72,7.173189638836865e-102,4.5727331190500055e-105,9.198913778364497e-36,2.4157479506391316e-88,2.3492440964899484e-98
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.1519049483375654e-61,3.97579618833221e-34,3.6973373901492676e-83,2.9791760712882986e-51,6.939261676850926e-125,7.769829494165158e-19,1.2658353868915737e-100,7.76982949416514e-19,3.3601863031996517e-68,4.758308046894961e-66,6.172645250459262e-106,7.157168086698344e-107,1.9702554822904417e-48,1.217995186466954e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.029673611903594e-21,1.205959595049265e-35,4.46546193205945e-35,5.029673611752824e-21,3.7011446549907724e-51,7.482534792197037e-32,2.1113982975015867e-39,3.6004845835583047e-44,4.818621755762711e-73,2.393817937962551e-49,1.2602648812728507e-70,1.0870609227353213e-99,7.349521522350135e-103,4.0174073240849157e-35,1.8282744422640895e-86,1.7670987319985836e-96
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.9428708427616503e-60,1.6598166450764908e-33,2.569244599770529e-81,2.5487478514420055e-50,1.9305367276833894e-122,1.5996707782104747e-18,8.971792934795784e-99,1.5996707782104672e-18,5.775301723973632e-67,8.218793843185561e-65,8.583743669568447e-104,9.952831203361458e-105,1.6561184496478182e-47,4.265542817047085e-79,8.736241271510672e-17,2.5866457686112184e-18,1.0355210377608503e-20,5.034643915658228e-35,1.8642424538242583e-34,1.0355210376979068e-20,3.111035093088031e-50,3.123810892378607e-31,1.7747574355323008e-38,3.027165607521016e-43,1.6722067877062086e-71,2.0121482153807492e-48,4.3724441921763265e-69,1.5116780464835793e-97,1.0510233432772701e-100,1.6771884749599769e-34,1.270146674463998e-84,1.2389282417594757e-94
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.1911831472366094e-59,6.78089258121713e-33,1.713209697688656e-79,2.1073540115222202e-49,5.151612942270169e-120,3.245046435798396e-18,6.03760535044881e-97,3.2450464357983643e-18,9.572139066896238e-66,1.365564889229322e-63,1.145104769463257e-101,1.3277463679361327e-102,1.357785963457652e-46,1.4616240867636322e-77,1.7722089436492946e-16,5.247195702039897e-18,2.1006283909511944e-20,2.056816315890177e-34,7.616038711070293e-34,2.1006283906940502e-20,2.5506145299293797e-49,1.276178603940627e-30,1.4550532820955167e-37,2.4830690398936236e-42,5.571831669967574e-70,1.649680676126302e-47,1.4562063843392915e-67,2.0166372710031327e-95,1.4214000390782775e-98,6.851862173137939e-34,8.465473282937299e-83,8.493374008562758e-93
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,5.1730550193482324e-58,2.740945199478698e-32,1.1198613063010231e-77,1.713665284115456e-48,1.3472764027429603e-117,6.535797750974252e-18,3.9614937069516656e-95,6.535797750974123e-18,1.558574705527259e-64,2.2262154200242957e-62,1.497253891696936e-99,1.736062471809511e-100,1.0995702761444523e-45,5.0625699708858324e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430975293307e-20,8.31398040512402e-34,3.078524616887166e-33,4.2308430964899123e-20,2.065553775148002e-48,5.15851737006588e-30,1.1783397270642587e-36,2.0128228757043762e-41,1.8204914722364565e-68,1.335954182844473e-46,4.75329959622934e-66,2.636805017778472e-93,1.8711265036132468e-96,2.769632242073641e-33,5.528277614371796e-81,5.882742412545469e-91
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.331053350858883e-57,1.102122010404584e-31,7.2533720616385e-76,1.382133133419532e-47,3.4909130532395232e-115,1.3117300381326013e-17,2.5669889666506778e-93,1.3117300381325501e-17,2.5155458584001757e-63,3.595343849210689e-61,1.9396896047549912e-97,2.249065671739664e-98,8.850298186256445e-45,1.8284637352426476e-74,7.163717842638372e-16,2.1210495302611934e-17,8.491272511475399e-20,3.34301495441313e-33,1.2378612085188492e-32,8.491272507295944e-20,1.662537376815073e-47,2.0742166716682703e-29,9.484300912276899e-36,1.6232649278501427e-40,5.8948434835232765e-67,1.0752921524769568e-45,1.5361839199629767e-64,3.4159759481095444e-91,2.432231383768232e-94,1.1136569431244413e-32,3.5738516219204566e-79,4.246851656776061e-89
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.3373191856706766e-55,4.420002204329471e-31,4.683314662492039e-74,1.1102044963740873e-46,9.016304787130623e-113,2.628030564202974e-17,1.6530690355639327e-91,2.6280305642027694e-17,4.04241466273144e-62,5.779410229459044e-60,2.504876912629334e-95,2.9043990657319102e-96,7.101806921077122e-44,7.123280897095509e-73,1.4352396374623052e-15,4.249489477004121e-17,1.7012131342526717e-19,1.340698516498968e-32,4.964377092409403e-32,1.701213132576523e-19,1.3340815410787931e-46,8.318532760730131e-29,7.610550420620737e-35,1.3076552738143268e-39,1.9029801954234706e-65,8.628542340105096e-45,4.940134864317494e-63,4.411323989088803e-89,3.146293237283764e-92,4.466262436142276e-32,2.298775435384638e-77,3.3055874068246736e-87
5.9605200431059904e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.1431981837084908e-54,1.770306347838654e-30,3.027681475813672e-72,8.899663195750454e-46,2.3315206931123498e-110,5.2606316163438025e-17,1.0612387388553095e-89,5.2606316163429816e-17,6.481928598029015e-61,9.268600866458424e-59,3.238687974578669e-93,3.755251317637026e-94,5.690087679879262e-43,3.0837055272862543e-71,2.872975343858981e-15,8.506369370489945e-17,3.40538490172661e-19,5.369787110571723e-32,1.9883402417382607e-31,3.4053848950132684e-19,1.0688886670162868e-45,3.331748976977566e-28,6.0976955411897905e-34,1.05586770735938e-38,6.151339011239175e-64,6.913333910631986e-44,1.5847489007088142e-61,5.703634329418074e-87,4.071652250527423e-90,1.7888345637498666e-31,1.474909763938949e-75,2.858298270613445e-85
1.1926218644025279e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.4319098642455135e-53,7.085838984462069e-30,1.969409077130931e-70,7.126948500726699e-45,6.0658850017716085e-108,1.0525833720625788e-16,6.802425427172737e-88,1.0525833720622506e-16,1.0382350712251116e-59,1.484701958000764e-57,4.2131240369447736e-91,4.885107707900464e-92,4.5555299580320924e-42,1.4999114547211666e-69,5.748446756651292e-15,1.7020129157461456e-16,6.813728441729204e-19,2.149314249732626e-31,7.958542726626496e-31,6.813728414858316e-19,8.557608614540342e-45,1.333565427278104e-27,4.8818544425979484e-33,8.583895931634605e-38,2.000816314048008e-62,5.53487076181946e-43,5.077447459025818e-60,7.41970793760297e-85,5.299531253624237e-88,7.160000085818227e-31,9.451245930851663e-74,2.7769733588415884e-83
2.3857615845863856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.493291093316416e-52,2.8352586003588156e-29,1.2986907474095171e-68,5.704447388854119e-44,1.5997635556663472e-105,2.1056237929191074e-16,4.356914502063073e-86,2.1056237929177944e-16,1.662077824122399e-58,2.3769046881646754e-56,5.555952343891809e-89,6.442114063472696e-90,3.6458084805333185e-41,8.081144089072863e-68,1.1499389582231747e-14,3.404764873140394e-16,1.3630415541953373e-18,8.600056599150535e-31,3.184453735211138e-30,1.3630415434434634e-18,6.848687687921246e-44,5.3359792134192676e-27,3.906951803052848e-32,7.078658347595231e-37,6.598408540435662e-61,4.42957881822029e-42,1.625779331113254e-58,9.784554948033712e-83,6.991631183396638e-86,2.8649326622493634e-30,6.052566236825335e-72,2.9892961822161556e-81
4.772041024954101e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.791054377508505e-51,1.1342880877438495e-28,8.794098240075194e-67,4.564713627981532e-43,4.3318340390899637e-103,4.2117046346326904e-16,2.7895016788721753e-84,4.2117046346274376e-16,2.660046091762151e-57,3.8041530909452456e-55,7.522939205059958e-87,8.722830833491673e-88,2.9172007030896544e-40,4.685645776022896e-66,2.3001275233376008e-14,6.810268787928672e-16,2.7263789823278697e-18,3.4405826327241535e-30,1.27398885034987e-29,2.7263789393132174e-18,5.4799906483683115e-43,2.1347235050000565e-26,3.126130326575145e-31,5.9983542757500614e-36,2.2349598579530667e-59,3.544336140162412e-41,5.204057886264841e-57,1.3248603882111164e-80,9.471731176859334e-84,1.1461596138880214e-29,3.874826429303033e-70,3.464224032539582e-79
9.544599905689531e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.4067117873140508e-49,4.537521832380192e-28,6.243423962081175e-65,3.652233244587907e-42,1.2295336719514944e-100,8.423866318061962e-16,1.7856255985870418e-82,8.423866318040949e-16,4.256651085870684e-56,6.087529509336032e-54,1.067825338305168e-84,1.238141040048637e-85,2.333982145068219e-39,2.843104945337119e-64,4.6005046535597894e-14,1.3621276617504365e-15,5.453053870944548e-18,1.3763450542834167e-29,5.0963701260094e-29,5.453053698870686e-18,4.384408693862081e-42,8.539463865242004e-26,2.5011021733126188e-30,5.334140940284961e-35,7.939112126068261e-58,2.835738268368037e-40,1.6655293634331596e-55,1.8805408960856063e-78,1.345443735395303e-81,4.5850115547567323e-29,2.4802391420389913e-68,4.202332934479933e-77
