Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.2421351238712093e-65,2.889736781174108e-36,5.5223236333540545e-89,1.7456630035932448e-54,1.827297143517887e-132,5.488978465945501e-20,-6.10071445278443e-106,5.488978465945501e-20,2.4856023606576324e-72,2.437655774533179e-71,1.2221239761658083e-112,1.417049962426082e-113,1.9238900058636873e-52,1.1519414497059425e-85,2.9976818271489012e-18,8.875603103045467e-20,3.553201542820448e-22,8.765302931911477e-38,3.2456416223579106e-37,3.5532015428047467e-22,3.183838898629065e-54,7.815843147551317e-34,3.7512068927132194e-42,9.19090465502391e-47,1.128836325303782e-77,2.0592360950387004e-52,4.8172642081737433e-76,2.1522753428024112e-106,-3.3675888844323675e-109
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,2.7788207822596646e-64,1.7454010158827605e-35,6.102433531938259e-87,2.638045932359662e-53,6.593538641005953e-130,1.5369139704647406e-19,1.1777516430653369e-104,1.5369139704647396e-19,7.009796356839565e-71,7.664379738642303e-70,2.443131756694602e-110,2.8328056985540162e-111,2.2840422149402883e-51,5.968636594362726e-84,8.393509116016921e-18,2.4851688688527303e-19,9.948964319922753e-22,5.294242970821173e-37,1.960367539902207e-36,9.948964319827924e-22,3.7798535404045085e-53,4.720769239233375e-33,4.453432802061853e-41,1.0911647798425782e-45,6.86738962884681e-76,2.444725092098689e-51,2.930576886792355e-74,4.30258496002745e-104,3.4081512997835996e-107
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,5.490670979254525e-63,8.403354560458298e-35,5.521242812216158e-85,2.837889433203331e-52,2.387457671812167e-127,3.512946218205121e-19,1.2435813755895131e-102,3.5129462182051176e-19,1.5247838207909143e-69,1.7098809576647513e-68,4.4232165394039704e-108,5.128709487082801e-109,2.2424861907693613e-50,2.6112968628372382e-82,1.9185163693752944e-17,5.680385985949098e-19,2.274048987422937e-21,2.5489500925198185e-36,9.438325837787233e-36,2.2740489873772805e-21,3.711082620093493e-52,2.2728471544764948e-32,4.37240668914796e-40,1.0713556421031885e-44,3.1003922392721184e-74,2.400245592590215e-50,1.3230024779527776e-72,7.789700618961368e-102,7.137476297491083e-105
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,9.770510397338043e-62,3.6699657129219103e-34,4.1788937666374235e-83,2.6085093144152522e-51,7.239750129063655e-125,7.465010713685883e-19,9.829474350636917e-101,7.465010713685868e-19,2.82669222826774e-68,3.2024177973289645e-67,6.702898255451232e-106,7.771995236359556e-107,1.983453640307986e-49,9.759529267470019e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.832354098325063e-21,1.1131934722700497e-35,4.1219648603639905e-35,4.8323540981256685e-21,3.2824105506186775e-51,9.926120458132094e-32,3.867344121614631e-39,9.47679476890258e-44,1.1707434119403723e-72,2.122990044988621e-49,4.995405524683662e-71,1.1804434674150607e-99,1.1471246460432e-102
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.64795198200509e-60,1.5321384421262266e-33,2.9036433528315543e-81,2.2316346370399987e-50,2.0139753633127455e-122,1.5369139704647413e-18,6.966783315069863e-99,1.536913970464735e-18,4.8583617174056094e-67,5.53138035926428e-66,9.320382913459698e-104,1.0806962726211441e-104,1.667212296592382e-48,3.388721775844096e-79,8.393509116016867e-17,2.48516886885273e-18,9.948964320292523e-21,4.6473636137550915e-35,1.7208391881466647e-34,9.94896431946009e-21,2.759063847563613e-50,4.143959731499448e-31,3.2507356262704604e-38,7.967121528493182e-43,4.062507414422883e-71,1.7845010529949517e-48,1.7331381666978445e-69,1.6414071502463054e-97,1.640322873435857e-100
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,0.0,2.7067762641625568e-59,6.259285463825018e-33,1.9358848600153613e-79,1.845158673485477e-49,5.373421315585475e-120,3.1177397686570494e-18,4.688325792192947e-97,3.117739768657023e-18,8.052378251197643e-66,9.19047119385694e-65,1.2431790633768751e-101,1.4414632879988263e-102,1.3668813692515268e-47,1.1421287498049002e-77,1.7026832778205523e-16,5.041342562529821e-18,2.0182184764880278e-20,1.8985996756335153e-34,7.030189579459302e-34,2.0182184761479507e-20,2.262047237350941e-49,1.692942630617577e-30,2.6651492496288763e-37,6.534066857063359e-42,1.3534206753730227e-69,1.463041778972307e-47,5.772073244711831e-68,2.1893553328893084e-95,2.2180136165105302e-98
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,0.0,4.387809163081722e-58,2.5301032644909016e-32,1.2650152488105704e-77,1.5004523896557192e-48,1.4048426991968422e-117,6.279391365041674e-18,3.076182036400169e-95,6.279391365041567e-18,1.3111210539205893e-64,1.4982787595111924e-63,1.6249760879934747e-99,1.8841560670505997e-100,1.106935971257599e-46,3.835739095667749e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.064862565666712e-20,7.674443446245006e-34,2.8417150309807054e-33,4.0648625642920655e-20,1.8318644995350685e-48,6.843143709661275e-30,2.1583066079794492e-36,5.294921710868084e-41,4.420637484966274e-68,1.1848091656888846e-46,1.884100539421199e-66,2.8617358260805414e-93,2.918858294638887e-96
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996463,0.022821567693054278,0.0,7.066437961522606e-57,1.0173433969833082e-31,8.188364696140189e-76,1.210169209873366e-47,3.6377875383759045e-115,1.2602694557810958e-17,1.993320179458002e-93,1.2602694557810522e-17,2.1161546670562222e-63,2.4197241967666855e-62,2.1038294652637272e-97,2.4393854655551927e-98,8.909583703497513e-46,1.312337597338491e-74,6.882677475133484e-16,2.0378384724592344e-17,8.158150745068616e-20,3.08585995418618e-33,1.1426411155622496e-32,8.158150739541222e-20,1.4744439165366897e-47,2.751597118648076e-29,1.737192358230879e-35,4.267391475609455e-40,1.430513845050588e-66,9.536374944775107e-46,6.0890854143895156e-65,3.705041690537866e-91,3.7917470876576787e-94
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996392,0.022821567693054268,0.0,1.1343203160584755e-55,4.080002056942538e-31,5.28037263774061e-74,9.720737211875722e-47,9.383915100571881e-113,2.524930094334967e-17,1.2836423956033985e-91,2.5249300943347915e-17,3.4006037402108667e-62,3.889635969274071e-61,2.7134437161727113e-95,3.1462317986415123e-96,7.149379806903901e-45,4.692844271727519e-73,1.378933640488336e-15,4.0827774274008945e-17,1.634472710805056e-19,1.2375678583876575e-32,4.582501931506101e-32,1.634472708588324e-19,1.1831483837019043e-46,1.103512815134855e-28,1.393986550873139e-34,3.4332646338602815e-39,4.6121537395749405e-65,7.652340343168841e-45,1.9581573544298543e-63,4.7786297594215756e-89,4.898752839919424e-92
