Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246764938296e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.244502726313653e-65,2.889736909469625e-36,1.1405204245692417e-88,1.7291816696183287e-54,3.77390035748933e-132,5.488978708438538e-20,-6.043113287122284e-106,5.488978708438537e-20,2.462134470221823e-72,5.034525256108412e-71,2.524041657398776e-112,2.926620263565725e-113,8.206387360099054e-52,1.1403118300566127e-85,2.9976818270601744e-18,8.875603102782762e-20,3.5532015427236046e-22,8.765302931462658e-38,3.2456417342280428e-37,3.553201542691267e-22,3.1838388983718035e-54,1.6142159089974524e-33,1.6000830550908427e-41,8.096753159259098e-46,9.944515177014581e-77,2.0592361864015648e-52,1.1293510586706906e-76,4.445074484342311e-106,-1.437217809472578e-108
1.741389094182723e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,2.784117014406006e-64,1.745401093791851e-35,1.2603180305718817e-86,2.613139339880595e-53,1.3617447856222529e-129,1.536914038362791e-19,1.166631929796062e-104,1.5369140383627902e-19,6.943613149471396e-71,1.5829352882985177e-69,5.0457304104212704e-110,5.850512340129071e-111,9.742623073888539e-51,5.903955288159894e-84,8.393509115768487e-18,2.4851688687791737e-19,9.948964319678574e-22,5.294242970590951e-37,1.960367607471767e-36,9.94896431948325e-22,3.779853540125806e-53,9.749863996980282e-33,1.8996185854673997e-40,9.612553067023969e-45,6.049788173022347e-75,2.4447252011016118e-51,6.870393550951458e-75,8.886005283010894e-104,1.454514951383972e-106
3.9803179295605095e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,5.501135441712798e-63,8.403354939820627e-35,1.140262952051551e-84,2.8110960575275023e-52,4.93064759116618e-127,3.512946373400665e-19,1.2318401183719972e-102,3.512946373400662e-19,1.5103875275346578e-69,3.531441550672501e-68,9.134955981848402e-108,1.0591959607655528e-108,9.565365106866163e-50,2.5791068256423304e-82,1.9185163693185096e-17,5.680385985780968e-19,2.2740489873798425e-21,2.5489500924505935e-36,9.438326163105579e-36,2.274048987285803e-21,3.71108261987645e-52,4.6941397233181014e-32,1.8650567546508962e-39,9.437847403116996e-44,2.7312165455010033e-73,2.400245700747251e-50,3.101623999679271e-73,1.6087515683930575e-101,3.04603647555864e-104
8.458175600316083e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,9.789131349578811e-62,3.6699658823454803e-34,8.6300156521908e-83,2.5838815860740167e-51,1.49511310728216e-124,7.465011043476413e-19,9.736669496635748e-101,7.4650110434764e-19,2.800003926806875e-68,6.613999191989675e-67,1.3842452433115525e-105,1.6050290481265793e-106,8.460457112630594e-49,9.61035308093703e-81,4.076847284801826e-17,1.2070820219784556e-18,4.832354098287778e-21,1.1131934722763839e-35,4.121965002439059e-35,4.832354097877084e-21,3.282410550527371e-51,2.0500540597120635e-31,1.6496215123141808e-38,8.347999670485243e-43,1.0312955918033805e-71,2.12299014267549e-49,1.1711141605715556e-71,2.4377859188702955e-99,4.895342094598885e-102
1.741389094182723e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.651092677877703e-60,1.5321385159879454e-33,5.9959456224643045e-81,2.210565096941543e-50,4.1588091981921757e-122,1.5369140383627913e-18,6.90100652116982e-99,1.5369140383627854e-18,4.8124913460848724e-67,1.1424038818085134e-65,1.9246353965109637e-103,2.2316101379939037e-104,7.11152398381528e-48,3.317105263020716e-79,8.393509115768435e-17,2.4851688687791728e-18,9.948964320439512e-21,4.647363614087131e-35,1.7208392474602086e-34,9.948964318724944e-21,2.7590638476562127e-50,8.55857144707227e-31,1.3866061670898727e-37,7.017552757451077e-42,3.578322531103129e-70,1.7845011385102192e-48,4.0631387396153856e-70,3.3894637465354315e-97,6.999480292191284e-100
3.532532162484952e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,0.0,2.7119348668936252e-59,6.259285791158785e-33,3.996890771707248e-79,1.827737970288015e-49,1.1094161893554268e-119,3.1177399063930925e-18,4.644061025311439e-97,3.1177399063930687e-18,7.976351474711113e-66,1.898121135508485e-64,2.5667113130395568e-101,2.976095627168521e-102,5.830457021894501e-47,1.1049372980370549e-77,1.7026832777701557e-16,5.041342562380606e-18,2.0182184766086434e-20,1.8985996760189019e-34,7.030189821774481e-34,2.018218475908186e-20,2.2620472377045777e-49,3.496455124799061e-30,1.1368233286991897e-36,5.754325573139572e-41,1.1919166818707289e-68,1.4630418546644436e-47,1.3531946295335499e-68,4.520219756394695e-95,9.462997380973524e-98
7.1148182990894105e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,0.0,4.396171481456653e-58,2.530103417488604e-32,2.6109304513690403e-77,1.4862861631327645e-48,2.8995388355551266e-117,6.279391642453697e-18,3.0471383037868125e-95,6.279391642453601e-18,1.2987420642365983e-64,3.0944165112276806e-63,3.3538810751437766e-99,3.8888170831508303e-100,4.7216552607818936e-46,3.627068638581747e-76,3.429348010156743e-16,1.0153689949583467e-17,4.0648625662754086e-20,7.674443449821835e-34,2.841715128928372e-33,4.064862563444047e-20,1.83186450027127e-48,1.4133226036102934e-29,9.206287104510195e-36,4.661478938110805e-40,3.8918280594276404e-67,1.1848092360267251e-46,4.4170512550268196e-67,5.906499659206784e-93,1.2448979158454846e-95
1.4279390572298328e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996463,0.022821567693054278,0.0,7.079905220831536e-57,1.0173434751371683e-31,1.6889263014527929e-75,1.1987436349782348e-47,7.503332903283107e-115,1.2602695114574923e-17,1.9745002729608124e-93,1.2602695114574538e-17,2.0961749278021002e-63,4.997490929010639e-62,4.3393663324980736e-97,5.0314848813652274e-98,3.800398928030265e-45,1.1884601734895277e-74,6.882677474929767e-16,2.037838472398918e-17,8.158150747758466e-20,3.085859957248112e-33,1.1426411549465736e-32,8.158150736373683e-20,1.474443917853356e-47,5.682904318834773e-29,7.410016037469433e-35,3.754341271663771e-39,1.2585559403561623e-65,9.536375656445683e-46,1.4275137385676584e-65,7.642031779723801e-91,1.616117501498179e-93
2.8608535118716163e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996392,0.022821567693054268,0.0,1.1364821105104858e-55,4.080002503795318e-31,1.0876963570105213e-73,9.628960780862909e-47,1.9330089492613298e-112,2.524930205881743e-17,1.2715229026587327e-91,2.524930205881589e-17,3.3684968356134593e-62,8.033320703890715e-61,5.589441357064407e-95,6.480943881470655e-96,3.049580798063515e-44,3.9314286075485445e-73,1.3789336404475216e-15,4.0827774272800515e-17,1.6344727119322706e-19,1.2375678609179892e-32,4.582502089454838e-32,1.63447270736646e-19,1.183148385920549e-46,2.2790958301308236e-28,5.946063575409033e-34,3.0164379885906346e-38,4.0523720638079304e-64,7.652341147797553e-45,4.5906644520166034e-64,9.843531336282697e-89,2.0851937807875247e-91
