Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176),CX(177),H2X(44)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5599389854574704e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.3572248141314017e-84,6.6790267544427704e-42,0.0,1.2959250583723065e-53,0.0,6.670516797192354e-25,-2.0966990212743839e-114,6.670516797183783e-25,3.8261352940067495e-76,2.6846121434474066e-106,0.0,0.0,1.1843161916437688e-67,2.2488224306579143e-91,2.6454317779320117e-18,2.9074969772193414e-20,2.9074969772184272e-20,4.5704414854283318e-33,4.2462263297722719e-41,1.1136504386440144e-57,4.2002203090657805e-58
1.8367829159280918e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,5.2730176202385473e-83,4.0341321597001939e-41,0.0,1.9584019595336459e-52,0.0,1.8677447032166499e-24,4.0477080859826549e-113,1.8677447032114733e-24,1.0790313770912424e-74,1.6331805759424982e-104,0.0,0.0,1.4060201827248321e-66,1.1640552625598704e-89,7.4072089782096315e-18,8.1409915362156375e-20,8.1409915362101161e-20,2.7605466324343024e-32,5.0411198572918036e-40,2.4911914656783503e-56,4.9865015509418496e-57
4.198360950692781e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,1.0418594238206127e-81,1.9422609802166217e-40,0.0,2.1067594618551217e-51,0.0,4.2691307502226439e-24,4.2739523068828758e-111,4.2691307501977219e-24,2.3471289363983835e-73,7.3729577965004249e-103,0.0,0.0,1.3804389529962567e-65,5.0827208442512858e-88,1.6930763378764859e-17,1.8607980654214152e-19,1.8607980654187564e-19,1.3290843468159435e-31,4.9494012815996623e-39,4.9221744499735643e-55,4.8957767923047543e-56
8.921517020222159e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.8539331783819902e-80,8.4823639783949489e-40,0.0,1.9364749082004353e-50,0.0,9.0719028442792881e-24,3.378203099557247e-109,9.0719028441704462e-24,4.3511814810300151e-72,2.7838885765793321e-101,0.0,0.0,1.2209826209709411e-64,1.8921695314404032e-86,3.5977872179875249e-17,3.9541958890234872e-19,3.9541958890118772e-19,5.8044603026456384e-31,4.3776892273379451e-38,8.758746140711391e-54,4.3302591299545021e-55
1.8367829159280917e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,3.126929282007719e-79,3.5412199854319674e-39,0.0,1.6566950537694547e-49,0.0,1.8677447032571205e-23,2.3943507200541024e-107,1.8677447032116806e-23,7.4785692342461019e-71,9.6586027190186101e-100,0.0,0.0,1.0263094626806233e-63,6.5188109296414243e-85,7.4072089782095769e-17,8.1409915362371039e-19,8.140991536188636e-19,2.4232477301106155e-30,3.6797113086205818e-37,1.4772904551553845e-52,3.6398437165282967e-54
3.7260453437398434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054285,0.0,5.1359907355952591e-78,1.4467039113106203e-38,0.0,1.3697875077905694e-48,0.0,3.7888535409869545e-23,1.6112882701921842e-105,3.788853540801318e-23,1.2395180053388237e-69,3.2167179686233645e-98,0.0,0.0,8.4143050456519779e-63,2.1633556744038258e-83,1.5026052498653585e-16,1.651458283070224e-18,1.6514582830504227e-18,9.899756150173416e-30,3.0168492190900036e-36,2.4264536735234713e-51,2.9841637890946283e-53
7.504570199363346e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054285,0.0,8.3256623082923343e-77,5.8478085183708354e-38,0.0,1.1138884524675632e-47,0.0,7.6310712167324233e-23,1.0572251699344229e-103,7.6310712159820524e-23,2.0182337476004076e-68,1.0499903206174335e-96,0.0,0.0,6.8141223824279308e-62,7.0489794980347124e-82,3.0263739539541189e-16,3.3261765419784107e-18,3.326176541898371e-18,4.0016384956988092e-29,2.4431220174237867e-35,3.9333848813485329e-50,2.4166532063875921e-52
1.5061619910610352e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054285,0.0,1.3408222484944027e-75,2.3513780862829945e-37,0.0,8.9839139027523511e-47,0.0,1.5315506569366576e-22,6.8506617639535442e-102,1.5315506566349369e-22,3.2574374054618673e-67,3.3933872816550926e-95,0.0,0.0,5.4845985100256584e-61,2.2760727651573616e-80,6.0739113621314796e-16,6.6756130598554228e-18,6.6756130595335837e-18,1.609040255190936e-28,1.9664360239447246e-34,6.3345915926124641e-49,1.9451327450735038e-51
3.0175719333104363e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.1186699660299641,0.022821567693054285,0.0,2.152316657230527e-74,9.430077810700062e-37,0.0,7.2163682125620213e-46,0.0,3.068437727920772e-22,4.4116344025934065e-100,3.0684377267107374e-22,5.2346144620828549e-66,1.0912624958366317e-93,0.0,0.0,4.40104489859047e-60,7.3162325214114281e-79,1.2168986178485558e-15,1.3374486095852011e-17,1.337448609456129e-17,6.4529631909208e-28,1.5779392659465094e-33,1.0168411172269453e-47,1.560846528535185e-50
6.040391817809239e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999753,0.11866996602996287,0.022821567693054285,0.0,3.449318714733002e-73,3.7769498308753314e-36,0.0,5.7848123290572576e-45,0.0,6.142211871718139e-22,2.8321850025624696e-98,6.1422118668716877e-22,8.3935964047479939e-65,3.5006710814177766e-92,0.0,0.0,3.5261915266826942e-59,2.3464552219936662e-77,2.4359135811191139e-15,2.6772232168815426e-17,2.6772232163645811e-17,2.5845448012899059e-27,1.264268710551461e-32,1.6295935499132698e-46,1.2505766085527009e-49
1.2086031586806844e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999504,0.1186699660299604,0.022821567693054285,0.0,5.5234040872104984e-72,1.5117642371868155e-35,0.0,4.6325415516502574e-44,0.0,1.2289760166629424e-21,1.8153999264209023e-96,1.2289760147230987e-21,1.3444341492483087e-63,1.1215977571252586e-90,0.0,0.0,2.8230973025114868e-58,7.5170843107624943e-76,4.8739435076592018e-15,5.3567724318623258e-17,5.356772429793127e-17,1.0344864108231567e-26,1.0121790757377778e-31,2.6094613526310171e-45,1.0012216929984753e-48
2.4177311124802054e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999004,0.11866996602995547,0.022821567693054285,0.0,8.8410436745582199e-71,6.049026139293866e-35,0.0,3.707910832841823e-43,0.0,2.4584856785718183e-21,1.1627532500104033e-94,2.4584856708099186e-21,2.1522622832805962e-62,3.5913272826220207e-89,0.0,0.0,2.2593358481284116e-57,2.4068162187755144e-74,9.7500033607352598e-15,1.0715870863376317e-16,1.0715870855096793e-16,4.1392526195561092e-26,8.1004348423701378e-31,4.1768006512563804e-44,8.0128164937635593e-48
