Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2414011721699419e-65,2.8897376102405911e-36,2.6739072218884499e-89,1.7681588211207862e-54,8.8477691873535127e-133,5.4889800419459709e-20,-6.1793346308978576e-106,5.4889800419459697e-20,2.5176329544990316e-72,1.1802860991229097e-71,5.9175218983315849e-113,6.8613510890480728e-114,4.5103448604356391e-53,1.1657757820183729e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421329051e-22,8.7653029282401212e-38,3.2456429548823206e-37,3.5532015421252366e-22,3.7843395856234814e-34,8.7942647564250521e-43,1.0433037481411964e-47,1.2813963515582464e-78,2.0592366854381243e-52,1.9089660657091291e-98,3.1838388966830501e-54,1.0421309875331266e-106,-7.8930176379988023e-110
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7770166134869896e-64,1.7454015165914008e-35,2.9548541151385208e-87,2.6720416080626861e-53,3.1926521682100074e-130,1.5369144117448717e-19,1.1929290044194381e-104,1.5369144117448708e-19,7.1001277467700216e-71,3.7110083376405543e-70,1.1829869737203006e-110,1.3716702869734144e-111,5.3546814180982123e-52,6.0343911859923004e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643179845738e-22,5.2942429684292511e-37,1.9603683447469503e-36,9.9489643179382593e-22,2.285741104585329e-33,1.0440551092538446e-41,1.2386584636255439e-46,7.7956580256324816e-77,2.4447257929599369e-51,1.7977341240367466e-96,3.7798535379801579e-53,2.0833507747675297e-104,7.9882480440403817e-108
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4869627023660076e-63,8.4033569706708935e-35,2.6735496700891039e-85,2.8744604295543261e-52,1.1560778161371532e-127,3.5129472268454222e-19,1.2596070858126881e-102,3.5129472268454174e-19,1.5444328709792225e-69,8.2790554579904152e-69,2.1418528908198069e-108,2.4834727978147127e-109,5.2572579686697482e-51,2.6348513534632855e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869737669e-21,2.548950091190552e-36,9.4383297127682199e-36,2.2740489869514679e-21,1.1004859438024274e-32,1.0250594918591963e-40,1.2162244357127649e-45,3.5196241128614646e-75,2.4002462805708448e-50,1.571228904560863e-94,3.7110826174716855e-52,3.7720033936480151e-102,1.6729992003042521e-105
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7637944194813124e-62,3.6699667650998488e-34,2.0237167215741411e-83,2.6421243606679172e-51,3.5059985331229239e-125,7.465012857046526e-19,9.9561442351292264e-101,7.4650128570465067e-19,2.8631182557753961e-68,1.5505754609160564e-67,3.2460178347181727e-106,3.7637491483586227e-107,4.6499851359412551e-50,9.8088909528308731e-81,4.076847284138252e-17,1.2070820217819832e-18,4.8323540973442894e-21,1.1131934715334302e-35,4.1219665526699942e-35,4.8323540972469035e-21,4.8061111942073823e-32,9.0665350221401058e-40,1.075918564627035e-44,1.3291641964652664e-73,2.1229906532700406e-49,1.1721855137603973e-92,3.2824105478699932e-51,5.7165411970196124e-100,2.6890494529142087e-103
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6468096875501003e-60,1.532138881034429e-33,1.406389533115305e-81,2.2603930168254853e-50,9.7547431372918578e-123,1.5369144117448742e-18,7.0565624432642163e-99,1.5369144117448661e-18,4.9209687517932286e-67,2.6782335068746554e-66,4.5143549651505835e-104,5.2343827177094839e-105,3.9085926880438838e-49,3.3793116572243054e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643181649435e-21,4.6473636093753191e-35,1.7208398946511086e-34,9.9489643177583782e-21,2.0064567767165753e-31,7.620968819177969e-39,9.046802612715584e-44,4.613023078662804e-72,1.7845015639057901e-48,8.0856697622963264e-91,2.7590638445302623e-50,7.9502015854421847e-98,3.8458450109126816e-101
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7048923204562653e-59,6.2592872540040785e-33,9.3797163742090177e-80,1.8689366580244656e-49,2.6035117470933235e-120,3.1177406638253229e-18,4.74874302971461e-97,3.1177406638252894e-18,8.1561448193108782e-66,4.4499250248079794e-65,6.0234164149766358e-102,6.9841355027095904e-103,3.2045004306888134e-48,1.12147033073087e-77,1.702683277493016e-16,5.0413425615600445e-18,2.01821847601247e-20,1.8985996727781588e-34,7.0301924657604891e-34,2.0182184758463748e-20,8.1970303099914825e-31,6.2481304042176012e-38,7.4221315105357432e-43,1.537351824252513e-70,1.4630421972143055e-47,5.3697335585693747e-89,2.2620472336784977e-49,1.060780002916822e-95,5.2020564723459263e-99
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.3847489912078456e-58,2.5301039857619939e-32,6.1333983456340623e-78,1.5197882517880385e-48,6.8112974561544403e-118,6.279393167986239e-18,3.1158239958097733e-95,6.2793931679861027e-18,1.3280167495650606e-64,7.2545008829765759e-64,7.8786217228985354e-100,9.1352411813786985e-101,2.595087527503686e-47,3.6541477957273512e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.0648625645317981e-20,7.6744434260843539e-34,2.8417161976697983e-33,4.0648625638604165e-20,3.3133704569865252e-30,5.0598975524155716e-37,6.0187591300089052e-42,5.0248479754796536e-69,1.184809503365904e-46,3.5003043823627778e-87,1.8318644946408544e-48,1.3874990201613601e-93,6.8504683883978097e-97
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0615046482112486e-57,1.0173436851150605e-31,3.9754959558258082e-76,1.2257642831728002e-47,1.7661385507474747e-115,1.2602698176308147e-17,2.0190075791988944e-93,1.2602698176307601e-17,2.1434243879446523e-63,1.1716038269698139e-62,1.021410317205267e-97,1.1843225783370849e-98,2.0887522039289539e-46,1.1799021801779728e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507420799662e-20,3.0858599391484089e-33,1.142641584682807e-32,8.1581507393803673e-20,1.3322914841164041e-29,4.0726450387682981e-36,4.8574998074752593e-41,1.628258909009544e-67,9.5363776461740307e-46,2.2607801037659788e-85,1.4744439095063366e-47,1.7987991605851197e-91,8.9112304836031205e-95
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1335280058494336e-55,4.0800031973348097e-31,2.570569180043273e-74,9.8460053215816077e-47,4.5680968379540913e-113,2.5249308192952261e-17,1.3001843619569853e-91,2.5249308192950073e-17,3.444425449602982e-62,1.8833189228979154e-61,1.3209201727910308e-95,1.5316034686494857e-96,1.6760920894565911e-45,3.7926901261443624e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727099214343e-19,1.2375678467973353e-32,4.5825038128893882e-32,1.6344727088387745e-19,5.3430830977321333e-29,3.2680400138254787e-35,3.9188275873664261e-40,5.2639886017009658e-66,7.6523424843596271e-45,1.4535200952867377e-83,1.1831483730997144e-46,2.3262640464323065e-89,1.1544072279078497e-92
