Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.4577835828732706e-65,3.13054817951748e-36,3.399640633693765e-89,1.9937200706377622e-54,1.2186596682840645e-132,5.71310992218026e-20,-7.856475335292942e-106,5.713109922180259e-20,2.954721000323199e-72,5.908570221624949e-71,7.830824199414543e-113,9.079822795359675e-114,2.1693188897886062e-52,1.4294402360656568e-85,3.1200861683966903e-18,9.238020602182924e-20,3.698289420465932e-22,9.495744842900047e-38,3.5161117575542534e-37,3.6982894204576264e-22,4.099700471443271e-34,9.916137700492837e-43,1.176398952785959e-47,1.5652706816890158e-78,2.3219309553890897e-52,2.510021041518912e-75,3.5899983074853834e-54,1.379081841688155e-106,-1.0445058534916705e-109,3.163312853649554e-37,4.9905420734839533e-92,2.842080413320967e-102
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.261254945842637e-64,1.8908511004354176e-35,3.7568460180120124e-87,3.0129098124591497e-53,4.397450180299978e-130,1.599670778210473e-19,1.516703366824086e-104,1.5996707782104721e-19,8.332786087541418e-71,1.8577490209482103e-69,1.5654825581978292e-110,1.8151734550123097e-111,2.5754153859322924e-51,7.430952263197523e-84,8.736241271510732e-18,2.5866457686112186e-19,1.0355210377318086e-21,5.735429885051464e-37,2.1237315015605467e-36,1.0355210377267913e-21,2.476219078965893e-33,1.17724386471716e-41,1.3966774679621339e-46,9.522685185111776e-77,2.7565964302470766e-51,1.5269682846292353e-73,4.262045990590412e-53,2.756962121109415e-104,1.0571096390530909e-107,1.9106409636011035e-36,5.514687913741966e-90,2.6878432844801114e-100
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.443912468694468e-63,9.103634106139727e-35,3.399202723306536e-85,3.241150892189263e-52,1.5923474658882058e-127,3.6563903501953685e-19,1.6014786295999665e-102,3.656390350195363e-19,1.8125629872435497e-69,4.144535871437578e-68,2.834388407309313e-108,3.2864668923947517e-109,2.5285580978609013e-50,3.272609662687329e-82,1.9968551477738794e-17,5.912333185397071e-19,2.3669052291076303e-21,2.761362600225084e-36,1.0224852990934429e-35,2.366905229083473e-21,1.19219288841694e-32,1.155825000804861e-40,1.3713861761317416e-45,4.299365826495816e-75,2.706442721629885e-50,6.893464704478823e-72,4.1845020270306304e-52,4.991624745046802e-102,2.2139391446565303e-105,9.1989137783645e-36,4.989274930440777e-88,2.369310841773307e-98
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.146677956349281e-61,3.9757961880935255e-34,2.573009891084699e-83,2.9791760712889265e-51,4.829091263524526e-125,7.76982949416516e-19,1.2658353868918303e-100,7.76982949416514e-19,3.360186303200342e-68,7.762257002196819e-67,4.295597105777343e-106,4.980735044913833e-107,2.236481002455394e-49,1.2390954709524709e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.029673611880835e-21,1.2059595949550473e-35,4.465461932059451e-35,5.029673611775334e-21,5.206619509052405e-32,1.0223141122843835e-39,1.21318893356545e-44,1.62363984036648e-73,2.3938179378274983e-49,2.6028410792833312e-70,3.701144654719031e-51,7.564950785334805e-100,3.558538532905969e-103,4.0174073240849157e-35,3.7759584457117274e-86,1.7975052567326689e-96
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.9340547566419413e-60,1.6598166448758622e-33,1.7881469806187224e-81,2.5487478514430885e-50,1.343616533918493e-122,1.5996707782104759e-18,8.971792934799461e-99,1.5996707782104672e-18,5.775301723976012e-67,1.3407368633030261e-65,5.97412319306323e-104,6.9269822140010974e-105,1.8798970404963453e-48,4.4121316221092784e-79,8.736241271510672e-17,2.5866457686112184e-18,1.0355210377513487e-20,5.034643914866271e-35,1.8642424538242592e-34,1.0355210377073043e-20,2.173661109246731e-31,8.593165908633249e-39,1.0201173813514367e-43,5.635112507901954e-72,2.0121482151529626e-48,9.03046464311016e-69,3.1110350926297006e-50,1.0520993200157047e-97,5.089446314193973e-101,1.6771884749599777e-34,2.6232500930498715e-84,1.281201793489908e-94
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.1767026988577315e-59,6.780892579572256e-33,1.1926114884930488e-79,2.107354011524019e-49,3.586168311630939e-120,3.2450464357984e-18,6.037605350453771e-97,3.2450464357983643e-18,9.572139066904153e-66,2.2276543503685473e-64,7.971370696228588e-102,9.242786137683312e-103,1.5412531721369341e-47,1.5593249016345115e-77,1.7722089436492946e-16,5.247195702039897e-18,2.100628390912378e-20,2.0568163152408817e-34,7.6160387110703014e-34,2.1006283907324415e-20,8.880114525799254e-31,7.045196268381677e-38,8.369425621410765e-43,1.8780278067058034e-70,1.6496806757521614e-47,3.007521628459372e-67,2.550614529176569e-49,1.4038334024695183e-95,6.8843915475215694e-99,6.8518621731379466e-34,1.748384999628729e-82,9.057051046576923e-93
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,5.149581587048593e-58,2.740945198146636e-32,7.79890796864334e-78,1.713665284118388e-48,9.382621107766579e-118,6.535797750974268e-18,3.9614937069581856e-95,6.535797750974123e-18,1.558574705529841e-64,3.631638820641545e-63,1.0427101883268894e-99,1.2090200846805708e-100,1.24814677806686e-46,5.700593673679532e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430973724276e-20,8.313980399865859e-34,3.0785246168871723e-33,4.230843096645097e-20,3.589483986247836e-30,5.705382077696722e-37,6.78731297895056e-42,6.138682950051341e-69,1.335954182237976e-46,9.817050627789116e-66,2.0655537739276614e-48,1.836310776626522e-93,9.066385910412863e-97,2.769632242073647e-33,1.1417622663848935e-80,6.619063277894657e-91
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.293250107042757e-57,1.1021220093324252e-31,5.055573571105115e-76,1.3821331334242683e-47,2.433130073584621e-115,1.3117300381326084e-17,2.5669889666591358e-93,1.3117300381325501e-17,2.51554585840852e-63,5.865106391456051e-62,1.351947796977403e-97,1.5675803864247776e-98,1.004617112633182e-45,2.2409253525303473e-74,7.163717842638372e-16,2.1210495302611934e-17,8.491272510844496e-20,3.343014950180903e-33,1.2378612085188547e-32,8.491272507919934e-20,1.4433154938290403e-29,4.5921870168922194e-36,5.478369434129045e-41,1.9894022320893424e-67,1.0752921515002123e-45,3.172700557902944e-64,1.6625373748497523e-47,2.3809073092175784e-91,1.1795009352515262e-94,1.1136569431244465e-32,7.381122062319951e-79,5.198941968860862e-89
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.3312509262998636e-55,4.420002195726075e-31,3.269645443446422e-74,1.1102044963817006e-46,6.2945917902323e-113,2.6280305642030018e-17,1.6530690355748311e-91,2.6280305642027694e-17,4.042414662758271e-62,9.4279872128497e-61,1.748751679230717e-95,2.027673582580712e-96,8.061419632360658e-45,9.776320159811022e-73,1.4352396374623052e-15,4.249489477004121e-17,1.7012131339996514e-19,1.340698513102873e-32,4.964377092409448e-32,1.7012131328267702e-19,5.788338824742634e-29,3.6849395331248875e-35,4.420680433417157e-40,6.432903611084113e-66,8.628542324426186e-45,1.0202925862094831e-62,1.3340815379240176e-46,3.079716290511157e-89,1.5283128248070966e-92,4.466262436142317e-32,4.747691295477869e-77,4.530444706268604e-87
