Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-7.360391012369005e-120,1.3113256477857868e-65,2.9700072546554918e-36,2.557314155652573e-88,1.7977027803130975e-54,8.697023159109757e-132,5.564692090377849e-20,-6.546164226414581e-106,5.564692090377849e-20,2.5950082721553197e-72,1.4152317506513144e-72,5.737558200352375e-112,6.652685644654926e-113,4.699567148343551e-53,1.21823846003403e-85,3.0390311159895404e-18,8.998030998167262e-20,3.602213534570682e-22,9.008783568596093e-38,3.335798334090026e-37,3.6022135345021052e-22,3.426468003332144e-33,7.111530943989978e-41,7.432157646372108e-45,9.38181469988606e-76,3.3174158810800166e-54,2.1456307178831142e-52,2.8353407474423492e-77,1.0104379983816563e-105,-6.755029528823159e-108,-3.0147176764367993e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.333448810023993e-117,2.933437788792338e-64,1.793884386146329e-35,2.8259156424905793e-86,2.716688464527372e-53,3.138151903216689e-129,1.5581137853057977e-19,1.2637467322656336e-104,1.558113785305797e-19,7.318338588350228e-71,4.4497150666959575e-71,1.1469716055723736e-109,1.3299109601607931e-110,5.579326118290617e-52,6.306302591684332e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197896909114e-21,5.441305275194703e-37,2.0148221937883227e-36,1.0086197896494907e-21,2.06958663251483e-32,8.442809377719478e-40,8.823496956812378e-44,5.7074407933260095e-74,3.938436133847115e-53,2.547292793907204e-51,1.7248761093361892e-75,2.01992494518212e-103,6.836295731277412e-106,3.0509861593408425e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.6291085314552185e-115,5.796027167584341e-63,8.636781161554347e-35,2.5567000841780786e-84,2.922489482138335e-52,1.1362606115673077e-126,3.5614029378418233e-19,1.3343830912541161e-102,3.561402937841821e-19,1.5918984967546455e-69,9.927069534639865e-70,2.0764946878652287e-107,2.407690853626237e-108,5.47781546741842e-51,2.7538862069453565e-82,1.944979914233304e-17,5.758739838827048e-19,2.3054166622030778e-21,2.6197542613917346e-36,9.70050155550299e-36,2.3054166620036545e-21,9.964168331223125e-32,8.289199975459917e-39,8.66304508962867e-43,2.5766360525114504e-72,3.866779950456511e-52,2.500947182237306e-50,7.78691495370279e-74,3.656902575588599e-101,1.4316388972408478e-103,6.389294191529396e-103
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.810636388728444e-112,1.0313760231898561e-61,3.771909280595848e-34,1.9349857850374658e-82,2.686271334817238e-51,3.4453989027758643e-124,7.567981242913874e-19,1.0547186236616249e-100,7.567981242913862e-19,2.9511115267390694e-68,1.8592302584294024e-68,3.146508158553908e-105,3.6483690319420195e-106,4.84506574580554e-50,1.0254314758062946e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407405331e-21,1.144115512843827e-35,4.236463884262496e-35,4.899010406534399e-21,4.351613721016234e-31,7.331702907020903e-38,7.662513734819908e-42,9.72907301234262e-71,3.4201230756445034e-51,2.2120594816015424e-49,2.940190686021057e-72,5.541297002251014e-99,2.3007679903468578e-101,1.0268150429482924e-100
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,5.1795890571074664e-110,1.7395696319600358e-60,1.5746979068833676e-33,1.3443325755675942e-80,2.298161682678128e-50,9.583351109457282e-122,1.5581137853057978e-18,7.475472082599893e-99,1.5581137853057924e-18,5.072206702256773e-67,3.211357912126458e-67,4.374689155704687e-103,5.072442096363278e-104,4.0725696950481066e-49,3.534343146081937e-79,8.509287124770657e-17,2.519448679486833e-18,1.008619789852152e-20,4.77645704475875e-35,1.7686402767058784e-34,1.0086197894885552e-20,1.8167127564727652e-30,6.162737053790248e-37,6.441054243749309e-41,3.3755962043164573e-69,2.8748195218691786e-50,1.859369316597172e-48,1.0200885703454524e-70,7.7042393289514e-97,3.2895640622324897e-99,1.4681071183096135e-98
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,1.4006895672801085e-107,2.857250946425284e-59,6.433155025811035e-33,8.960598193473609e-79,1.900164521328467e-49,2.5562821703592603e-119,3.1607451073346192e-18,5.030650012886955e-97,3.1607451073345965e-18,8.406810630953669e-66,5.33571919626948e-66,5.833666216571941e-101,6.764122670136066e-102,3.3389386879809855e-48,1.17396597072901e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.046057288360064e-20,1.951338553288959e-34,7.225472623329759e-34,2.046057286874652e-20,7.421861852637116e-30,5.052582520882805e-36,5.281174986729592e-40,1.124300281730565e-67,2.356950731529562e-49,1.5244233627006234e-47,3.39731974929736e-69,1.0273635245148641e-94,4.4469968657322917e-97,1.9846604691636464e-96
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,3.685131160304619e-105,4.631729000803975e-58,2.6003843329083486e-32,5.852500007589733e-77,1.5451822316099406e-48,6.67997781526377e-117,6.366007751392263e-18,3.300793478740853e-95,6.36600775139217e-18,1.3688311789059836e-64,8.69856894075316e-65,7.62156004577146e-99,8.837181486379817e-100,2.703959113606271e-47,3.832016179312983e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.120932286514582e-20,7.887622412858343e-34,2.9206515596162948e-33,4.120932280510308e-20,3.0000331756691444e-29,4.091709645591437e-35,4.277495796964169e-39,3.6704635726107026e-66,1.9087198075863935e-48,1.2345176573602696e-46,1.108941035358703e-67,1.3422284546052315e-92,5.84928748136037e-95,2.6104919775206165e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,9.565484673754459e-103,7.459258427952527e-57,1.045603275596434e-31,3.784597558940178e-75,1.2462454478628058e-47,1.7280806049144054e-114,1.2776533039507555e-17,2.138865051404957e-93,1.2776533039507187e-17,2.209299041458023e-63,1.4048212025415437e-63,9.857935111387618e-97,1.1430253272963949e-97,2.1763815277165858e-46,1.2417384612377731e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682287378413e-20,3.171578271755256e-33,1.1743811465478649e-32,8.270682263235473e-20,1.206298496282616e-28,3.2933595842988168e-34,3.443968629084026e-38,1.1865924946157058e-64,1.5363037513787666e-47,9.936473640215343e-46,3.5839011871835793e-66,1.736075151206844e-90,7.591096320060024e-93,3.3878478574364286e-92
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,2.466871058398861e-100,1.1973763031398532e-55,4.193338174151606e-31,2.4358067590178184e-73,1.0010521174563667e-46,4.449092138638044e-112,2.559758361573816e-17,1.3773692188375587e-91,2.5597583615736684e-17,3.550284249364485e-62,2.2582090379661708e-62,1.2689814286708734e-94,1.4713810715763669e-95,1.7464091025779006e-45,4.019767627910896e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182307325331e-19,1.2719447317142322e-32,4.709793651807858e-32,1.657018221050121e-19,4.8377832736188155e-28,2.6427067422038814e-33,2.765281736611117e-37,3.8182324995655767e-63,1.2327870000087665e-46,7.973396770766901e-45,1.1525259425994546e-64,2.2347957258243767e-88,9.788204959047366e-91,4.3684005389895416e-90
