Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176),CX(177),H2X(44)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5599389854574704e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.3572248141314017e-84,6.6790267544427704e-42,0.0,7.5012842342481325e-55,0.0,6.6705167971858107e-25,-1.2136454238154931e-115,6.670516797183783e-25,2.2147058715788556e-77,2.6846121434500409e-106,0.0,0.0,1.1843161916437688e-67,1.3016999814715724e-92,2.6454317779320117e-18,2.9074969772207847e-20,2.9074969772169846e-20,1.899679237670812e-32,7.3357985709444495e-40,7.9967825566109974e-56,4.2002203090657805e-58
1.8367829159280918e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,5.2730176202385473e-83,4.0341321597001939e-41,0.0,1.1335940664644555e-53,0.0,1.8677447032126988e-24,2.3429602120780838e-114,1.8677447032114733e-24,6.2458248735107666e-76,1.6331805759405189e-104,0.0,0.0,1.4060201827248321e-66,6.7379739542498258e-91,7.4072089782096315e-18,8.1409915362243511e-20,8.1409915362014025e-20,1.1474062167700726e-31,8.7090597660451855e-39,1.7888482124321243e-54,4.9865015509418496e-57
4.198360950692781e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,1.0418594238206127e-81,1.9422609802166217e-40,0.0,1.2194687673582014e-52,0.0,4.26913075020362e-24,2.4739185683568936e-112,4.2691307501977219e-24,1.358603335065831e-74,7.3729577964782883e-103,0.0,0.0,1.3804389529962567e-65,2.942063123732906e-89,1.6930763378764859e-17,1.8607980654256103e-19,1.860798065414562e-19,5.5242665814002982e-31,8.550605892414705e-38,3.5344623687386297e-53,4.8957767923047543e-56
8.921517020222159e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.8539331783819902e-80,8.4823639783949489e-40,0.0,1.1209018931223658e-51,0.0,9.0719028441962042e-24,1.9554264471078121e-110,9.0719028441704462e-24,2.5186216143497893e-73,2.7838885765612188e-101,0.0,0.0,1.2209826209709411e-64,1.0952563345603058e-87,3.5977872179875249e-17,3.9541958890418081e-19,3.9541958889935558e-19,2.4125919687040572e-30,7.5629129587570561e-37,6.2893860374861775e-52,4.3302591299545021e-55
1.8367829159280917e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,3.126929282007719e-79,3.5412199854319674e-39,0.0,9.5895516859124668e-51,0.0,1.8677447032224352e-23,1.3859370154858464e-108,1.8677447032116806e-23,4.3288670443846029e-72,9.6586027188882472e-100,0.0,0.0,1.0263094626806233e-63,3.7733241370152402e-86,7.4072089782095769e-17,8.1409915363135932e-19,8.1409915361121496e-19,1.0072093349891545e-29,6.3570821564490833e-36,1.0607965783886932e-50,3.6398437165282967e-54
3.7260453437398434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054285,0.0,5.1359907355952591e-78,1.4467039113106203e-38,0.0,7.9288267774702373e-50,0.0,3.7888535408452516e-23,9.3267207577510496e-107,3.788853540801318e-23,7.1747796618112071e-71,3.2167179685349996e-98,0.0,0.0,8.4143050456519779e-63,1.2522287072177501e-84,1.5026052498653585e-16,1.6514582831014718e-18,1.651458283019176e-18,4.1147761628583764e-29,5.2119169392247984e-35,1.7423605652480963e-49,2.9841637890946283e-53
7.504570199363346e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054285,0.0,8.3256623082923343e-77,5.8478085183708354e-38,0.0,6.4475902565137078e-49,0.0,7.6310712161596414e-23,6.119602630927246e-105,7.6310712159820524e-23,1.1682268738488371e-69,1.0499903205592502e-96,0.0,0.0,6.8141223824279308e-62,4.0802049280036878e-83,3.0263739539541189e-16,3.3261765421047205e-18,3.3261765417720669e-18,1.663256200601851e-28,4.220740458419624e-34,2.8244383171421532e-48,2.4166532063875921e-52
1.5061619910610352e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054285,0.0,1.3408222484944027e-75,2.3513780862829945e-37,0.0,5.200215121388916e-48,0.0,1.5315506567063442e-22,3.9654114318759411e-103,1.5315506566349369e-22,1.8855228841572157e-68,3.3933872812774175e-95,0.0,0.0,5.4845985100256584e-61,1.3174734463123155e-81,6.0739113621314796e-16,6.6756130603633129e-18,6.6756130590257214e-18,6.6878630289682728e-28,3.3972110568439418e-33,4.548660393162372e-47,1.9451327450735038e-51
3.0175719333104363e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.1186699660299641,0.022821567693054285,0.0,2.152316657230527e-74,9.430077810700062e-37,0.0,4.1770955845469516e-47,0.0,3.0684377269971127e-22,2.5536139561217411e-101,3.0684377267107374e-22,3.0299846560641035e-67,1.091262495593211e-93,0.0,0.0,4.40104489859047e-60,4.2349006676127914e-80,1.2168986178485558e-15,1.3374486097888885e-17,1.3374486092524534e-17,2.6821185603562759e-27,2.726034988683337e-32,7.3015737776410227e-46,1.560846528535185e-50
